Name,ra,dec,VLT_FORS2_R,VLT_FORS2_R_err,VLT_HAWKI_Ks,VLT_HAWKI_Ks_err
HG20231230D,118.760716,8.514046,20.985492,0.005697,19.225965,0.017108
HG20240117B,53.877504,-15.852323,22.293283,0.011293,20.383371,0.064214
