Name,ra,dec,ee_a,ee_b,ee_a_sys,ee_b_sys,ee_theta,DM,DM_err,fluence,fluence_err,RM,RM_err,z,repeater,telescope,refs,P(O|x),ra_new,dec_new,eea_new,eeb_new,ee_theta_new,Diff RA,Diff (DEC)
FRB20231223D,144.00728,82.106836,42.3288,2.0016,,,-3.659827,729,0,131.58,15.44,,,0.1606,FALSE,CHIME,Leung+2025,0.207991,,,,,,,
FRB20231223A,206.973519,16.329397,20.6316,2.0016,,,8.403755,866.574036,0,38.69,4.05,,,,FALSE,CHIME,Leung+2025,0.607621,,,,,,,
FRB20231223C,259.544649,29.497937,11.3328,2.0016,,,9.717682,179.542175,0,287.17,28.75,,,0.1059,FALSE,CHIME,Leung+2025,0.95342,,,,,,,
FRB20231224A,131.459857,72.912788,22.6116,2.0016,,,9.712284,682.988159,0,13.18,1.41,,,0.08,FALSE,CHIME,Leung+2025,0.081593,,,,,,,
FRB20231224B,172.970158,82.872723,17.3628,2.0016,,,2.579304,373.237457,0,374.13,38.71,,,,FALSE,CHIME,Leung+2025,0.606816,,,,,,,
FRB20231225C,211.72144,74.449133,109.8144,2.0016,,,6.572279,515.577209,0,81.68,9,,,,FALSE,CHIME,Leung+2025,0.216542,,,,,,,
FRB20231225B,54.87781,-3.066187,74.5056,2.0016,,,5.871652,227.66272,0,65.59,7.32,,,,FALSE,CHIME,Leung+2025,0.812765,,,,,,,
FRB20231225A,135.60297,33.918572,47.5056,2.0016,,,9.869472,646.594482,0,25.34,2.65,,,,FALSE,CHIME,Leung+2025,0.477909,,,,,,,
FRB20231225D,330.33719,33.950848,24.6636,2.0016,,,8.898168,473.117889,0,75.06,7.72,,,,FALSE,CHIME,Leung+2025,0.776728,,,,,,,
FRB20231229A,26.467825,35.112918,11.43,2.0016,,,10.052999,198.54776,0,95.47,9.58,,,0.019,FALSE,CHIME,Leung+2025,0.998038,,,,,,,
FRB20231230A,72.797611,2.393975,103.1292,2.0016,,,6.567936,131.421631,0,37.1,4.37,,,0.02981,FALSE,CHIME,Leung+2025,0.917597,,,,,,,
FRB20231230B,355.772818,78.089194,16.506,2.0016,,,6.537953,476.757263,0,46.06,4.86,,,,FALSE,CHIME,Leung+2025,0.827039,,,,,,,
FRB20231231A,342.40187,16.426781,11.3688,2.0016,,,8.575732,1247.494629,0,280.96,28.17,,,,FALSE,CHIME,Leung+2025,0.37345,,,,,,,
FRB20240210B,222.521857,81.563151,17.424,2.0016,,,4.844289,630.419495,0,241.12,24.38,,,,FALSE,CHIME,Leung+2025,0.552476,,,,,,,
FRB20240210C,325.604935,2.36546,71.8488,2.0016,,,6.681502,380.920563,0,369.63,39.39,,,0.3658,FALSE,CHIME,Leung+2025,0.503481,,,,,,,
FRB20231230D,118.760791,8.514104,0.689,0.446,,,0,676.5,,,,,,,FALSE,ASKAP,Muller25,,,,,,,,
FRB20240117B,53.8775,-15.852306,0.697,0.472,,,0,881,,,,,,,FALSE,ASKAP,Muller25,,,,,,,,
