Name,ra,dec,ee_a,ee_b,ee_a_sys,ee_b_sys,ee_theta,DM,DM_err,fluence,fluence_err,RM,RM_err,z,repeater,telescope,refs,P(O|x),ra_new,dec_new,eea_new,eeb_new,ee_theta_new,Diff RA,Diff (DEC)
FRB20191001A,323.351684570,-54.748306274,0.46,0.43,,,81.9,507,0.07,143,15,55.5,0.9,0.234,FALSE,ASKAP,"Bhandari2020b,Day2021,Shannon2023",,323.351684570,-54.748306274,0.46,0.43,81.9,0,0
FRB20191228A,344.430541992,-29.594116211,0.84,0.76,,,-29.34,298,0.05,40,,,,0.243,FALSE,ASKAP,"Bhandari2021,Day2021",,344.430541992,-29.594116211,0.84,0.76,-29.34,0,0
FRB20200120E,149.4778333,68.81888889,0.4,0.4,,,0,87.818,0.007,,,-29.8,0.5,0.0008,TRUE,CHIME,"Bhardwaj2021,Kirsten2021",,,,,,,,
FRB20200430A,229.706451416,12.376329422,0.459,0.43,,,17.24,380,,35,4,,,0.161,FALSE,ASKAP,"Bhandari2021,Day2021",,229.706451416,12.376329422,0.459,0.43,17.24,0,0
FRB20200906A,53.495544434,-14.083008766,0.51,-0.47,,,39,577.84,0.02,59,,,,0.3688,FALSE,ASKAP,"Bhandari2021,Day2021",,53.495544434,-14.083008766,0.51,-0.47,39,0,0
FRB20201123A,263.67,-50.76,30,30,,,0,433.55,0.4,,,,,0.0507,FALSE,MeerKAT,Rajwade2022,,,,,,,,
FRB20201124A,77.01461542,26.06069556,0.004,0.004,,,0,411,1,,,-613,2,0.0982,TRUE,MeerKAT,Kumar2021,,,,,,,,
FRB20210117A,339.979187012,-16.151445389,0.418,0.417,,,73.05,728.95,0.1,36,,,,0.2145,FALSE,ASKAP,"Shannon2024,Gordon2023",,339.979187012,-16.151445389,0.418,0.417,73.05,0,0
FRB20210320C,204.458770752,-16.122669220,0.471,0.452,,,43.73,384.593,1,21,,,,0.2797,FALSE,ASKAP,"Shannon2024,Gordon2023",,204.458770752,-16.122669220,0.471,0.452,43.73,0,0
FRB20210410D,326.08625,-79.318194,0.8,0.5,,,90,575,1,,,,,0.1415,FALSE,MeerKAT,Caleb2023,,,,,,,,
FRB20210807D,299.221433,-0.762361,0.5,0.5,,,0,251.3,1,113,9,,,0.12927,FALSE,ASKAP,"Shannon2024,Gordon2023",,,,,,,,
FRB20210912A,350.793518066,-30.405580521,0.438,0.433,,,66.16,1235,1,90,15,,,,FALSE,ASKAP,Marnoch2023,,350.793518066,-30.405580521,0.438,0.433,66.16,0,0
FRB20211127I,199.808807373,-18.837911606,0.51,0.51,,,65.1,234.97,1,31,1,,,0.0469,FALSE,ASKAP,"Shannon2024,Gordon2023",,199.808807373,-18.837911606,0.51,0.51,65.1,0,0
FRB20211203C,204.562500000,-31.380266190,0.44,0.44,,,80.7,635,1,28,2,,,0.34386,FALSE,ASKAP,"Shannon2024,Gordon2023",,204.562500000,-31.380266190,0.44,0.44,80.7,0,0
FRB20211212A,157.350784302,1.360430598,0.5,0.46,,,45.58,209,1,36,,,,0.0707,FALSE,ASKAP,"Shannon2024,Gordon2023",,157.350784302,1.360430598,0.5,0.46,45.58,0,0
FRB20220105A,208.803359985,22.466228485,1.513,0.823,,,-30.45,580,1,16,,,,0.2785,FALSE,ASKAP,"Shannon2024,Gordon2023",,208.803359985,22.466228485,1.513,0.823,-30.45,0,0
FRB20220121B,,,,,,,90,313.5,0.2,,,-4.6,15.5,,FALSE,DSA,Sherman23,,,,,,,,
FRB20220204A,274.22625,69.722503,1.56,0.93,,,90,612.2,0.05,,,-11,11.7,0.4012,FALSE,DSA,"Sherman23,Sharma24",,,,,,,,
FRB20220207C,310.199525,72.882327,0.63,0.54,,,90,262.3,,28.6,,162.48,0.04,0.0433,FALSE,DSA,"Law2023,Sherman23,Sharma24",,,,,,,,
FRB20220208A,322.575125,70.041042,0.99,0.64,,,90,437,0.6,,,-23.3,9.7,0.351,FALSE,DSA,"Sherman23,Sharma24",,,,,,,,
FRB20220307B,350.874496,72.192386,1.72,1.26,,,90,499.15,,2.2,,-947.2,12.3,0.2481,FALSE,DSA,"Law2023,Sherman23,Sharma24",,,,,,,,
FRB20220310F,134.7205,73.490833,1.9,1.4,,,90,462.15,,23.9,,11.4,0.2,0.478,FALSE,DSA,"Law2023,Sherman23,Sharma24",,,,,,,,
FRB20220319D,32.1779208,71.03526,0.58,0.55,,,90,110.95,,9.6,,59,14.3,0.0112,FALSE,DSA,"Ravi2023,Law2023,Sherman23",,,,,,,,
