tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag
FRB20181013E,-9999,-9999,307.28,0.23,-9999,69.02,0.25,-9999,102.99,17.1,31,20,-9999,-9999,-9999,-9999,10.7,344.5,0,1.4,0,2.7,12.8,345.297,0.019,264.5,256.0,0.00295,<0.0011,-9999,0.62,0.19,-9999,2.03,0.53,-9999,0,58404.1224852566,0.0000000074,58404.1223817142,0.0000000094,0.00086,0.00010,-5.6,2.3,0.9,4.7,623.0,400.2,400.2,319659.367,319194,0.487,0
FRB20181013B,-9999,-9999,97.18,0.23,-9999,52.04,0.22,-9999,162.93,17.78,19,11,-9999,-9999,-9999,-9999,11.7,284.7,0,19.2,0,38.2,29.9,277.507,0.066,191.7,173.0,0.11993,0.0656,0.0058,0.56,0.46,-9999,21,11,-9999,0,58404.540187341,0.000000016,58404.540104126,0.000000026,0.0028,0.0012,-0.50,0.74,-4.2,1.2,790.4,400.2,400.2,4069660.806,4061225,0.552,0
FRB20181013C,-9999,-9999,146.07,0.23,-9999,34.10,0.23,-9999,191.21,49.48,13.3,8.2,-9999,-9999,-9999,-9999,12.6,1004.5,0,1.3,0,2.5,15.1,1005.766,0.014,967.2,980.1,0.00492,0.000435,0.000095,0.44,0.29,-9999,1.64,0.88,-9999,0,58404.6799941857,0.0000000068,58404.6796925921,0.0000000079,0.00076,0.00019,-3.7,1.5,-0.8,2.9,698.0,400.2,400.2,261701.004,262649,0.578,0
FRB20181014A,-9999,-9999,46.01,0.22,-9999,63.33,0.20,-9999,137.18,4.19,27,15,-9999,-9999,-9999,-9999,18.2,1311.8,0,1.5,0,2.9,20.6,1314.8896,0.0079,1128.2,1014.9,0.0059,<0.0023,-9999,0.99,0.61,-9999,2.7,1.5,-9999,0,58405.4026407793,0.0000000053,58405.4022464905,0.0000000058,0.00205,0.00014,3.7,2.7,0.5,2.6,800.2,456.0,800.2,258344.244,256698,0.44,0
FRB20181014B,-9999,-9999,78.56,0.11,-9999,14.66,0.20,-9999,188.17,-13.82,14.1,5.7,-9999,-9999,-9999,-9999,20.9,888.0,0,1.2,0,2.3,26.2,887.9720,0.0069,785.4,737.4,0.00393,0.00110,0.00017,0.65,0.25,-9999,1.88,0.59,-9999,0,58405.4899485186,0.0000000045,58405.4896822472,0.0000000049,0.00073,0.00011,3.6,1.1,-9.0,1.7,800.2,400.2,487.5,304365.112,302169,0.515,0
FRB20181014C,-9999,-9999,117.87,0.22,-9999,41.59,0.23,-9999,178.11,28.36,14.9,9.1,-9999,-9999,-9999,-9999,10.1,752.1,0,2.4,0,4.3,11.1,752.1671,0.0091,692.3,689.1,0.00393,<0.0010,-9999,0.57,0.26,-9999,1.48,0.55,-9999,0,58405.596512953,0.000000011,58405.596287405,0.000000011,0.00079,0.00011,18.0,5.1,-30.5,7.9,707.7,408.6,537.7,340330.863,355674,0.429,0
FRB20181014D,-9999,-9999,216.04,0.21,-9999,-2.93,0.35,-9999,343.2,52.54,11.3,6.9,-9999,-9999,-9999,-9999,13.6,376.9,0,19.6,0,39.6,13.9,377.132,0.011,347.1,350.6,0.00197,<0.0021,-9999,8.4,5.5,-9999,18,11,-9999,0,58405.8683847314,0.0000000082,58405.8682716428,0.0000000089,0.00172,0.00017,0.4,2.1,-0.5,2.5,800.2,400.2,624.3,292258.322,291226,0.532,0
FRB20181015A,-9999,-9999,175.76,0.22,-9999,83.58,0.27,-9999,125.18,33.25,106,53,-9999,97,54,-9999,11.1,567.7,8.4,3.8,17.2,8.0,13.3,568.8231,0.0056,522.3,528.4,0.00197,<0.00090,-9999,1.51,0.90,-9999,3.4,1.9,-9999,0,58406.7530871956,0.0000000097,58406.7529166257,0.0000000098,0.000738,0.000079,0.0,1.6,-0.9,2.2,800.2,400.2,403.2,314700.447,314938,0.494,0
FRB20181017B,-9999,-9999,237.76,0.23,-9999,78.50,0.25,-9999,113.05,34.93,58,33,-9999,60,29,-9999,12.6,304.1,32.8,8.5,63.1,16.7,18.6,307.369,0.034,263.7,269.9,0.01278,0.0043,0.0013,1.06,0.73,-9999,6.5,3.6,-9999,0,58408.929795329,0.000000011,58408.929703160,0.000000015,0.00231,0.00045,61,10,-77,12,704.8,499.3,593.2,622489.733,725945,0.417,0
FRB20181017A,181017.J1705+68,FRB20181017A,256.33,0.21,-9999,68.28,0.22,-9999,99.15,34.8,33,19,-9999,-9999,-9999,-9999,12.9,1268.1,0,25.3,0,47.3,22.4,1281.875,0.047,1239.0,1244.9,0.03736,0.0277,0.0043,0.66,0.36,-9999,16.0,5.8,-9999,0,58408.976525816,0.000000018,58408.976141427,0.000000023,0.00277,0.00088,29.5,3.3,-50.5,5.1,663.5,432.9,535.9,2319696.153,2311913,0.429,0
FRB20181018B,-9999,-9999,336.82,0.16,-9999,71.91,0.17,-9999,112.16,12.12,45,17,-9999,27,16,-9999,35.6,292.8,58.1,6.4,129.7,14.2,51.3,293.86700,0.00093,180.7,139.6,0.00098,<0.00050,-9999,5.1,3.5,-9999,7.9,5.2,-9999,0,58409.1941131379,0.0000000032,58409.1940250176,0.0000000032,0.000478,0.000013,7.30,0.60,-10.45,0.81,800.2,400.2,567.4,190120.496,183306,0.411,0
FRB20181018A,-9999,-9999,17.03,0.22,-9999,51.55,0.23,-9999,125.57,-11.24,18,11,-9999,-9999,-9999,-9999,10.8,1132.2,0,8.8,0,17.8,12.9,1129.449,0.094,1008.5,999.7,0.03146,<0.011,-9999,0.49,0.39,-9999,5.8,3.2,-9999,0,58409.306076949,0.000000028,58409.305738267,0.000000040,0.0085,0.0014,0.6,1.8,0.4,2.2,800.2,400.2,800.2,948425.137,945434,0.393,0
FRB20181018C,-9999,-9999,67.15,0.17,-9999,37.57,0.17,-9999,163.43,-7.68,18.4,5.8,-9999,-9999,-9999,-9999,29.4,409.2,0,1.1,0,1.9,41.7,411.1927,0.0023,265.0,220.7,0.00098,<0.00051,-9999,2.4,1.0,-9999,3.3,1.4,-9999,0,58409.4464391101,0.0000000040,58409.4463158080,0.0000000041,0.000477,0.000016,-0.61,0.61,-7.6,1.4,668.2,400.2,400.2,195306.024,193642,0.378,0
FRB20181019A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,16.2,346.1,0,6.8,0,26.1,27.8,348.778,0.069,149.8,23.9,0.00885,<0.0036,-9999,0.81,0.44,-9999,10.4,3.1,-9999,0,58410.342624244,0.000000015,58410.342519658,0.000000026,0.00314,0.00040,55.7,6.5,-51.7,6.0,800.2,555.3,685.7,1235524.394,1234229,0.434,0
FRB20181019A,-9999,FRB20180916B,29.5031258,6e-07,RA from Marcote et al. (2020),65.7167542,6e-07,Dec from Marcote et al. (2020),129.71,3.73,46.06,0,No error on exposure due to precise position. See Section 2.2.,-9999,-9999,-9999,16.2,346.1,0,6.8,0,26.1,27.8,348.778,0.069,149.8,23.9,0.00885,<0.0036,-9999,0.81,0.44,-9999,10.4,3.1,-9999,1,58410.342624984,0.000000015,58410.342520397,0.000000026,0.00246,0.00057,34,13,-38,14,800.2,491.9,630.1,1235524.394,1234229,0.434,0
FRB20181019B,-9999,-9999,37.87,0.22,-9999,68.18,0.24,-9999,132.04,7.1,32,19,-9999,-9999,-9999,-9999,11.3,723.0,0,3.0,0,5.8,10.9,725.184,0.015,565.4,473.2,0.00295,<0.0016,-9999,0.72,0.50,-9999,2.7,1.1,-9999,0,58410.364273708,0.000000017,58410.364056251,0.000000017,0.00130,0.00017,1.6,1.9,-5.8,3.2,800.2,400.2,460.1,362033.657,360538,0.421,0
FRB20181019C,-9999,-9999,244.70,0.25,-9999,66.27,0.24,-9999,98.65,39.7,29,17,-9999,-9999,-9999,-9999,11.5,503.0,0,1.5,0,3.1,16.2,501.6356,0.0036,462.4,469.1,0.00197,<0.00085,-9999,1.16,0.78,-9999,2.1,1.2,-9999,0,58410.930306644,0.000000012,58410.930156221,0.000000012,0.000723,0.000065,-4.5,1.9,9.1,2.1,800.2,400.2,800.2,351454.668,348378,0.44,0
FRB20181020A,-9999,-9999,322.62,0.22,-9999,78.83,0.25,-9999,113.83,19.7,61,34,-9999,59,32,-9999,11.6,1111.2,15.9,4.3,32.6,9.0,12.2,1112.473,0.034,1040.3,1033.3,0.01278,0.00153,0.00044,0.80,0.59,-9999,4.9,2.9,-9999,0,58411.148396664,0.000000017,58411.148063073,0.000000020,0.00196,0.00044,-0.3,1.7,-4.7,2.9,776.6,400.2,400.2,521954.115,522569,0.44,0
FRB20181022C,-9999,-9999,141.56,0.21,-9999,83.81,0.30,-9999,128.56,30.89,105,57,-9999,110,54,-9999,15,528.9,2.0,0.9,4.1,2.0,14.2,528.473,0.016,478.6,483.8,0.00393,0.00068,0.00018,0.91,0.87,-9999,3.2,2.2,-9999,0,58413.144455733,0.000000016,58413.144297262,0.000000016,0.00080,0.00019,2.9,2.2,-14.2,4.2,664.2,400.2,443.9,337840.384,338041,0.457,0
