Host,UV_filter,IR_filter,UVff,UVff_err,IRff,IRff_err,IRfe,IRfe_err,UV_SB,UV_SB_err,SSFR,SSFR_err,IR_SB,IR_SB_err,SMStar,SMStar_err,IR_lim,UV_global,UV_global_err,IR_global,IR_global_err,reff_iso,reff_iso_err
HG121102,F763M,F160W,0.6732143202036306,0.10490506630499015,0.7023315786004,0.07456232244443634,0.2419128007246045,0.1225975000102565,0.038002557659762015,0.0025396030654668,4.089420145676296,0.8178840291352594,0.014571886269290008,0.0002000085858550188,13035903.263379255,228350.41286973402,27.37,,,23.435,0.055,0.29921613867547503,0.021331050903064898
HG180916,F673N,F110W,0.324129134418158,0.2489851752462947,0.32239346879519554,0.07355745328084447,0.9003502629255091,0.09003502629255092,,,,,0.03100132577203792,0.00010051635676049456,11499197.31297988,2092.062982092385,25.4,,,16.178,0.005,3.6330165097953135,0.20904696431081946
HG180924,F300X,F160W,,,0.24371348226972295,0.10733103012209512,0.6553838155658194,0.06553838155658194,0.0008454895495425135,,0.005558571378249529,,0.02068663998535236,9.63087138118237e-05,80961923.96507531,1016790.8896832825,26.21,23.478,0.057999999999999996,19.349,0.002,0.527755300479335,0.08517009840808737
HG190102,F300X,F160W,0.357010874666116,0.2909736813462058,0.38528212680147506,0.24671687626023794,0.2485859734984625,0.16429007165471432,0.0025759378211431157,,0.015806412156638302,,0.011103341690806512,0.00010653539010506852,9301557.977717118,210999.5126009526,27.13,27.2,,20.55,0.006,1.0824655536801049,0.07544702276213375
HG190608,F300X,F160W,0.3930908732935903,0.2779648501493248,0.19323209352610657,0.05853985234637677,0.8237556814846761,0.08237556814846762,0.001725586409982138,3.252916533535359e-05,0.006869981166278334,0.001373996233255667,0.0178009794128252,0.00010122954115388688,33979590.09407913,108688.00941646792,25.22,19.765,0.013999999999999999,16.693,0.001,1.2077663416055036,0.2397661240404119
HG190711,F300X,F160W,,,0.5483126605017508,0.2723809443592766,0.6078785963273794,0.22004435272520645,0.0016061191110947313,,0.016142505940135797,,0.0061672244772472485,0.00010811619890480073,4476896.412225556,376384.35501629184,27.63,25.008000000000003,0.121,22.899,0.014,0.4473653752856953,0.0505191877942278
HG190714,F300X,F160W,0.38437872426664066,0.3104861544220788,0.34264877080148953,0.23366687682801546,0.2300030306134328,0.10058288117775807,0.0011171799200089746,,0.006020807349037097,,0.018001809553083167,0.00010255601143461732,175180387.8726108,1756319.3585903589,25.85,23.072,0.053,18.896,0.002,1.051536054538713,0.0904424519389223
HG191001,F300X,F160W,0.2902421996760106,0.2548559926331037,0.09309104012915094,0.03285074615395904,0.9118378537191868,0.0911837853719187,0.0008831246699894794,,0.00473060562451654,,0.00798980934224312,0.0001015593487746335,32186674.458193168,700014.6763002496,24.84,21.228,0.02,17.135,0.001,1.5757354618607762,0.17093239311667602
