,Name,Pref,dm,l,b,dmmax,deltaDM
93,J1335-3642,mld+96,41.7,312.71258293089375,25.331610546810662,75.87862695500218,-34.17862695500217
94,J1336-2522,kmk+18,37.5,315.5574709903858,36.40118732621762,50.95259318098307,-13.452593180983072
95,J1336+33,ttm+18,8.5,70.31873427067114,78.33708345497037,29.375770508413936,-20.875770508413936
96,J1342+2822A,hrs+07,26.5,42.2088727432889,78.70922195441835,24.142012217045572,2.357987782954428
97,J1342+2822B,hrs+07,26.148,42.220298470731635,78.7087646781655,24.142028008065065,2.005971991934935
98,J1342+2822C,hrs+07,26.5,42.2088727432889,78.70922195441835,24.142012217045572,2.357987782954428
99,J1342+2822D,hrs+07,26.358,42.21540881733887,78.71208187833882,24.141595991570906,2.2164040084290946
100,J1358-2533,mld+96,31.27,321.48506064094187,34.88679574713064,52.407567919019144,-21.137567919019144
101,J1400-1431,rsm+13,4.932258,326.98590057204433,45.086609391118564,38.52091937685238,-33.588661376852386
102,J1403-0314,mbc+19,31.0,335.56493884278905,54.97021687956996,30.315806684015072,0.6841933159849276
103,J1404+1159,cha03,18.466,355.0775226165637,67.11460016937416,24.321420998724737,-5.855420998724735
104,J1411+2551,msf+17,12.3737,33.38014970422276,72.10070914451971,22.51004039872984,-10.136340398729839
105,J1418-3921,mld+96,60.49,320.8200370915863,20.461497154867693,122.09820413239312,-61.60820413239312
106,J1433+00,dsm+16,23.5,349.7492049008425,53.791586520001296,29.415535735014817,-5.915535735014817
107,J1434+7257,slr+14,12.605,113.08220363443391,42.153344520871094,38.62843885473034,-26.02343885473034
108,J1439+76,kkl+15,22.29,115.40463536869777,38.596229748260924,41.122507635003416,-18.832507635003417
109,J1453+1902,lmcs07,14.0559,23.394745010059488,60.81226427000751,23.80778886354545,-9.751888863545451
110,J1455-3330,lnl+95,13.5698,330.7217722943938,22.562257995067498,90.75164913743414,-77.18184913743414
111,J1501-0046,lbr+13,22.2584,356.5819510906494,48.050680757525406,32.65276615058069,-10.394366150580687
112,J1503+2111,clm+05,3.2603,29.062370633838526,59.296058567153636,24.064425455553902,-20.8041254555539
113,B1508+55,htg+68,19.6191,91.32544403224585,52.28694037173678,34.16567212723029,-14.546572127230288
114,J1513-2550,san16,46.86,338.8198860095729,26.96446759575228,68.61914368267766,-21.75914368267766
115,J1517-32,mbc+19,26.0,335.39739021543744,21.104974596143954,92.19318583623212,-66.19318583623212
116,B1516+02A,wakp89,30.08,3.870426860455934,46.802305548572136,33.038597169307906,-2.9585971693079074
117,B1516+02B,wakp89,29.47,3.8595029910672296,46.80622499994799,33.035404784250744,-3.5654047842507453
118,J1518+0204C,hrs+07,29.3146,3.8558571687411924,46.79708629900428,33.04292609536236,-3.7283260953623625
119,J1518+0204D,hrs+07,29.3,3.863702814620302,46.79493480819101,33.04467441451083,-3.744674414510829
120,J1518+0204E,hrs+07,29.3,3.863702814620302,46.79493480819101,33.04467441451083,-3.744674414510829
121,J1518-0627,lbr+13,27.9631,355.1460094465156,41.00187366039185,39.78089622440194,-11.817796224401942
122,J1518+4904,nst96,11.61139,80.80835633183004,54.28167933029098,33.64321066121373,-22.03182066121373
123,J1528-3146,jbo+07,18.163,337.938654809028,20.216741067130872,96.91589962505186,-78.75289962505187
124,B1530+27,dth78,14.691,43.48058911399439,54.49506928196539,32.58014474877117,-17.889144748771166
125,B1534+12,wol91a,11.61944,19.847520913070486,48.341426751850705,30.48632774918698,-18.86688774918698
126,J1538+2345,kkl+15,14.909,37.31791154984674,52.39118312983425,26.984574560765733,-12.075574560765732
127,B1540-06,mlt+78,18.3774,0.5657933877141919,36.60802465165451,54.64813836565054,-36.27073836565054
128,B1541+09,ls69,34.9758,17.81119949945471,45.77524448894022,36.350883736313726,-1.3750837363137265
129,J1544+4937,brr+13,23.2258,79.17199863840574,50.16583936651161,35.01086353502485,-11.785063535024854
130,J1547-0944,lbr+13,37.416,358.31400902621544,33.57306865975822,51.06891064089637,-13.652910640896373
131,J1549+2113,fcwa95,24.0553,34.62543316681304,49.12869818174286,29.15441621770014,-5.099116217700139
132,J1551-0658,hrm+11,21.6,1.4944375263551049,34.76499314168044,50.788636555443205,-29.188636555443203
133,J1552+5437,pbh+17,22.9,85.59438054685194,47.20952256898874,35.90117397633002,-13.001173976330023
134,J1554+18,dsm+16,24.0,30.685417490879985,47.07335814168262,30.969673926360723,-6.9696739263607235
135,J1555-0515,blr+13,23.46,3.9728577070224276,34.96931525644955,48.196324310241266,-24.736324310241265
136,B1552-23,mlt+78,51.901,348.44118150194754,22.499944415412873,84.91549825930298,-33.014498259302975
137,J1556+01,ttm+18,19.0,10.45391127992309,38.72359173858561,41.74824326610435,-22.748243266104353
138,J1603+18,dsm+16,29.7,32.84880010952006,45.2798481095578,32.457584548991754,-2.7575845489917548
139,B1604-00,vl70,10.6823,10.715490187260142,35.46570540320615,50.06064438803492,-39.378344388034925
140,J1609-1930,jbo+09,37.0,354.07339162863417,23.177640724657454,81.65377461984369,-44.65377461984369
141,B1607-13,dtws85,49.13,359.4267882398545,26.94879983346603,67.39890233111909,-18.268902331119087
142,J1610-17,bb10,52.5,355.61084790555634,24.10976173915586,77.67897638553465,-25.178976385534654
143,J1611-01,kkl+15,27.21,10.447398032004017,34.160704482761574,51.291088879847514,-24.081088879847513
144,J1612+2008,blr+13,19.5082,35.51801834084715,43.742934718698365,33.99561648309012,-14.487416483090119
145,B1612+07,mlt+78,21.3949,20.632879517445303,38.162928750504136,48.675461656503245,-27.280561656503245
146,J1614-2230,crh+06a,34.9179,352.63570761556423,20.19210143115704,96.73179989994044,-61.81389989994044
147,J1622-0315,san16,21.4,10.708446614602964,30.675951504703026,56.3708618918501,-34.9708618918501
148,J1623-0841,blr+13,59.79,5.774152090372258,27.367400221251536,65.62275096641517,-5.832750966415169
149,B1620-09,mlt+78,68.183,5.29655228786145,27.177532690628624,66.29593235172031,1.8870676482796966
150,J1624+8643,slr+14,46.43,119.92491862243286,29.05717010097041,51.57748736360643,-5.14748736360643
151,J1627+1419,fcwa95,32.16696,30.029849238059228,38.31937752052762,40.92885595681367,-8.761895956813667
152,J1628+4406,slr+14,7.32981,69.23853703743147,43.61575702340949,37.21936417692622,-29.889554176926218
153,J1630+3734,san16,14.18009,60.244889122379234,43.21457519471201,36.166379665646694,-21.986289665646694
154,J1631-1612,rsm+13,33.77,0.5769575136393962,21.193019868584155,90.88538255024821,-57.115382550248206
155,J1632-1013,crh+06a,89.9,5.910333386375114,24.636437890673115,74.94762081993264,14.952379180067368
156,J1635-1511,jbo+09,54.0,2.0579057517848707,21.078110621457714,91.427980604701,-37.427980604701006
157,B1633+24,skk+80,24.2671,42.99332033474155,39.88875077439255,38.61654345282296,-14.34944345282296
158,J1640+2224,wol95,18.462,41.05100450675451,38.271185948662485,40.897358871209455,-22.435358871209456
159,B1639+36A,kapw91,30.36,58.99986123323112,40.913502863338486,38.66022679280018,-8.300226792800181
160,B1639+36B,and92,29.5,59.00779814491476,40.91376161532433,38.660152480157244,-9.160152480157244
161,J1641+3627C,hrs+07,30.1,59.00779814491476,40.91376161532433,38.660152480157244,-8.560152480157242
162,J1641+3627D,hrs+07,30.6,59.00779814491476,40.91376161532433,38.660152480157244,-8.060152480157242
163,J1641+3627E,hrs+07,30.3,59.00779814491476,40.91376161532433,38.660152480157244,-8.360152480157243
164,J1641+8049,slr+14,31.0896,113.8400517503979,31.762568338192473,47.5123380767428,-16.4227380767428
165,J1643-1224,lnl+95,62.4143,5.669492647555468,21.21761648834523,90.36921332389879,-27.954913323898793
166,B1642-03,ht69,35.7555,14.114069071514564,26.061548445642458,81.25923070945277,-45.50373070945277
167,J1645+1012,fcwa95,36.17129,27.71923143347367,32.547744612907174,51.27050853816459,-15.099218538164592
168,J1647+6608,slr+14,22.55,97.18027204980598,37.03415015941017,41.600863482170695,-19.050863482170694
169,J1649+2533,fcwa95,34.4622,45.64782964887549,37.10657546576859,42.850385514528995,-8.388185514528992
170,J1652+2651,fcwa95,40.80244,47.4016143126746,36.95353128921843,43.19834097146197,-2.3959009714619697
171,J1656+00,dsm+16,46.9,19.335828112406563,25.510396901407514,71.06382463207464,-24.163824632074643
172,J1705-04,kkl+15,42.951,15.70947442450863,21.104526339079566,90.51482323476398,-47.56382323476398
173,J1706+59,slr+14,31.0,88.09730591517898,36.31931749661825,42.119522191792825,-11.119522191792825
174,J1708+02,mbc+19,29.0,22.265062924167417,23.581580362449937,78.45255600845954,-49.45255600845954
175,J1709+2313,fcwa95,25.3474,44.52197934425148,32.209121601801286,50.09587982891076,-24.74847982891076
176,J1710+4923,slr+14,7.08493,75.92935412695569,36.448909479338845,42.514431522139745,-35.429501522139745
177,J1713+0747,fwc93,15.917,28.750560365351912,25.22283827094776,71.08577762582244,-55.16877762582244
178,J1717+03,dsm+16,25.6,24.78414189316036,22.203243195163353,83.93198506038209,-58.33198506038209
179,J1720+00,dsm+16,46.2,22.79062356660376,20.348850416982273,93.72434614030492,-47.524346140304914
180,J1720+2150,fcwa95,40.719,43.956873400431775,29.371233418601065,55.21021757273721,-14.491217572737206
181,J1721+35,ttol16,22.0,59.32619751226912,32.701599092284866,47.189139115731784,-25.189139115731784
182,J1740+1000,mca00,23.897,34.01068074982723,20.268270804936883,88.01848896536592,-64.12148896536593
183,B1737+13,mlt+78,48.66823,37.08464287929947,21.679279248250033,99.21468504425665,-50.54645504425665
184,J1741+1351,jbo+07,24.19871,37.885179529671085,21.640794301410942,92.44298956605597,-68.24427956605598
185,J1741+2758,fcwa95,29.14487,52.34686611318024,26.662586931622293,58.53749708199685,-29.392627081996846
186,J1746+2245,clm+05,49.8543,47.25218411732552,24.04822495519517,66.72478006524949,-16.870480065249488
187,J1746+2540,fcwa95,51.2044,50.27381704006973,25.031405196442606,62.933694058372,-11.729294058371998
188,J1749+16,dsm+16,59.6,41.207602200645994,20.90026778377988,80.85786741315223,-21.257867413152233
189,J1752+2359,fcwa95,36.19635,49.09827604064108,23.074428853565884,69.04276865240064,-32.84641865240064
190,B1753+52,dtws85,35.0096,79.60819399447405,29.627703350318342,49.10753284394882,-14.097932843948819
191,J1756+1822,naf03,70.8,43.83572135228767,20.18531022868932,82.60516278761499,-11.80516278761499
192,J1758+3030,cnst96,35.0674,56.26457292493484,24.03184820381738,63.82917584521478,-28.76177584521478
193,J1800+5034,slr+14,22.71,78.12963797735192,28.439812079394287,50.803881094483714,-28.093881094483713
194,J1806+2819,kmk+18,18.6802,54.64488967484997,21.667166895388615,71.197727608105,-52.517527608105
195,B1811+40,dth78,41.55656,67.40821124214149,24.0332924935604,60.049888991706815,-18.493328991706818
196,J1815+5546,slr+14,58.999,84.31593361106967,27.13337042779749,52.405972417791446,6.593027582208556
197,J1816+4510,slr+14,38.8874,72.82980995812824,24.73500370691176,57.52831478496875,-18.64091478496875
198,J1821+4147,slr+14,40.673,69.53714574537305,22.905152248956433,62.10004381600887,-21.42704381600887
199,B1839+56,skk+80,26.77163,86.0785898954705,23.818435054983766,58.69340192230647,-31.921771922306473
200,J1859+7654,slr+14,47.25,108.3638595295364,25.91075934875967,55.79253321439208,-8.54253321439208
201,J1938+6604,slr+14,41.2427,97.94565732529672,20.030497210728488,69.07834241436633,-27.835642414366333
202,J1942+8106,slr+14,40.24,113.37125353594632,24.825168876244522,58.34807530541081,-18.108075305410807
203,J2027+7502,slr+14,11.71,108.36771117471287,20.31251785837981,69.21402879847984,-57.504028798479844
204,J2351+8533,slr+14,38.5,121.677252594128,22.831848651776458,63.49763544486356,-24.997635444863562
205,J0006+1834,cnt96,11.41,108.17213721942373,-42.984984041327024,38.391985594155535,-26.981985594155535
206,J0011+08,dsm+16,24.9,106.228275884627,-53.40704772420733,34.074516165200635,-9.174516165200636
207,J0023+0923,hrm+11,14.3281,111.3830908768893,-52.84926497420159,34.33672880167393,-20.00862880167393
208,J0030+0451,lzb+00,4.33991,113.14115685980339,-57.611330244337104,33.028501356667455,-28.688591356667455
209,J0034-0534,bhl+94,13.76517,111.49220370192626,-68.06857790050077,32.69208468617101,-18.92691468617101
210,B0031-07,lvw69a,10.922,110.42044546428085,-69.81547984910557,33.62317278449961,-22.701172784499608
211,B0045+33,dtws85,39.922,122.25526351008591,-28.665744842530003,52.73101850373289,-12.809018503732894
212,J0050+03,dsm+16,26.5,122.48481654411181,-59.07094783411088,32.86775539729288,-6.367755397292882
213,J0051+0423,snt97,13.9,122.96234003183636,-58.49146381919202,33.010320471429125,-19.110320471429127
214,J0101-6422,kcj+12,11.926,301.1922626603999,-52.7202652093817,37.04969564820162,-25.12369564820162
215,J0108-1431,tnj+94,2.38,140.9305100587486,-76.81514332239502,30.25526941090533,-27.875269410905332
216,J0125-23,mbc+19,10.0,189.0693803716896,-81.54144032320393,29.535943331246294,-19.535943331246294
217,J0134-2937,mld+96,21.806,230.2510762732217,-80.2497421643175,38.46594517528563,-16.659945175285632
218,J0137+1654,lxf+05,26.0838,138.4491816161009,-44.570857311997244,38.93453867440955,-12.850738674409552
219,J0139+33,ttm+18,21.0,134.3060121605937,-28.64873912455376,53.788894679572664,-32.788894679572664
220,J0146+31,ttol16,25.0,136.53204762368722,-30.353426395231867,51.493522934558314,-26.493522934558314
221,B0148-06,mlt+78,25.66,160.36798723247338,-65.00381602667834,32.20618383639795,-6.546183836397947
222,J0152+0948,clm+05,22.881,146.81186467270226,-50.221237228612694,36.650343368166325,-13.769343368166325
223,B0149-16,mlt+78,11.92577,179.30535591724907,-72.45644701971656,30.422969353769872,-18.497199353769872
224,J0156+04,dsm+16,27.5,151.97486649168488,-55.154875892420016,35.042693581271564,-7.542693581271564
225,B0153+39,dtws85,59.833,136.36949847836962,-21.332369139254222,68.77412263130003,-8.941122631300033
226,J0158+21,dsm+13,20.0,143.20767765399555,-39.08422298489942,42.939778633907906,-22.939778633907906
227,B0203-40,mlt+78,12.9,258.5953805046822,-69.63289484083435,30.45267808811245,-17.55267808811245
228,J0211-8159,lml+98,24.36,299.5921353477121,-34.6057105854283,53.35020952353043,-28.99020952353043
229,J0220+36,ttol16,40.0,142.37647637726496,-23.10680363872499,64.84832762103579,-24.848327621035793
230,J0229+20,dsm+13,27.0,151.5792701376564,-36.41667362357974,45.93623300344573,-18.93623300344573
231,J0241+16,dsm+13,16.0,157.9637324977162,-39.18532596403388,44.02543506112037,-28.02543506112037
232,J0244+14,dsm+13,31.0,159.91427792893194,-40.14040774323371,43.46958921551744,-12.469589215517438
233,J0251+26,cck+16,20.0,153.91206048973766,-29.49186620977114,54.242228797846515,-34.242228797846515
234,B0254-53,lvw69b,15.9,269.8617369591533,-55.31015727362832,34.27165908637898,-18.371659086378983
235,J0303+22,ttol16,20.0,158.58539206765428,-30.81292678863318,52.892061301419425,-32.892061301419425
236,B0301+19,fss73,15.65677,161.13522508470604,-33.270366909156365,50.093661432582486,-34.436891432582485
237,J0319+13,ttm+18,12.0,168.96163650818693,-35.63336365576019,48.29107097878964,-36.29107097878964
238,J0329+1654,lxf+05,40.821,168.4991977758577,-31.682708001098803,52.75819207269735,-11.93719207269735
239,J0337+1715,rsa+14,21.3162,169.98968938096985,-30.03948004012449,55.139927612457434,-33.82372761245743
240,J0343-3000,bjd+06,20.2,227.757847376611,-52.33809963716642,34.354330561300756,-14.154330561300757
241,J0348+0432,lbr+13,40.46313,183.33683866092798,-36.77362166519653,46.050273885324195,-5.5871438853241955
242,B0403-76,mlt+78,21.7,290.31307670034903,-35.907179096303686,57.17028665901075,-35.47028665901075
243,J0407+1607,lxf+05,35.65,176.61811549321408,-25.655857593029886,62.00915411103158,-26.35915411103158
244,J0410-31,bbj+11,9.2,230.5862892166315,-46.67077368623982,36.718226803135714,-27.518226803135715
245,J0418-4154,bcm+15,24.54,246.25999019898757,-45.68085261268643,37.82194935060448,-13.281949350604478
246,J0421-0345,mld+96,44.61,197.50391801727218,-34.756742232486886,46.79573631796093,-2.185736317960931
247,J0437-4715,jlh+93,2.64476,253.39445857596388,-41.96339955921423,41.15613171366409,-38.51137171366409
248,J0447-04,kkl+15,29.83,202.07227983869137,-29.656645546916977,52.38619865583177,-22.55619865583177
249,J0448-2749,lml+98,26.22,228.34705769358303,-37.91814014528455,42.07523483272996,-15.855234832729963
250,B0447-12,mlt+78,37.041,211.07528353766202,-32.62910941788839,47.73387381176215,-10.692873811762155
251,B0450-18,vlw69,39.903,217.07821592764222,-34.086742274685236,45.75771202633727,-5.854712026337275
252,J0458-0505,lbr+13,47.806,204.13879408390628,-27.347656948981243,55.52675712945076,-7.72075712945076
253,J0459-0210,mld+96,21.02,201.4441349821783,-25.67794965630206,58.741065606810565,-37.72106560681057
254,J0514-4002A,fgri04,52.1489,244.51363549923863,-35.03623860245829,45.1689093286197,6.9799906713803
255,J0514-4407,bcm+15,15.4,249.48361176557935,-35.36374048190015,45.45860894825783,-30.058608948257834
256,J0520-2553,lml+98,33.77,228.434442490824,-30.54276553587243,49.10704926776543,-15.33704926776543
257,B0538-75,mlt+78,18.58,287.1617095677114,-30.820815350853227,57.64838198769812,-39.068381987698125
258,J0557-2948,kmk+18,49.05,235.4696723719148,-23.98884006139688,59.30771716314257,-10.257717163142573
259,B0559-57,mlt+78,30.0,266.4922537883507,-29.34297287823298,55.9355950850517,-25.935595085051702
260,J0614-3329,rrc+11,37.049,240.50114115967494,-21.82721963459613,64.79355778509326,-27.744557785093257
261,J0621-55,kbj+18,22.0,264.8042359085501,-26.410707221539443,61.146512732256056,-39.146512732256056
262,J0636-4549,bjd+06,26.31,254.54700785711734,-21.5472290176095,69.95092811535206,-43.640928115352054
263,J0656-5449,jbo+09,67.5,264.7951515499399,-21.141212195547187,75.35296932992367,-7.852969329923667
264,J0709-5923,jbo+09,65.0,270.0294358565689,-20.899357147887372,78.38368376489238,-13.383683764892382
265,J0711-6830,bjb+97,18.4066,279.53099393336504,-23.27985394983951,73.84309484986824,-55.43649484986824
266,J0749-68,kbj+18,26.0,281.0308165010783,-20.014391043031125,86.47555084534301,-60.47555084534301
267,J1036-8317,ckr+15,27.0,298.9158754153608,-21.494687683714485,86.52694342938084,-59.526943429380836
268,B1701-75,mlt+78,37.0,316.6764358269652,-20.22079871983503,97.4409000214818,-60.440900021481795
