Mr,PDF
-24.13,0.00016776372856528568
-24.029999999999998,0.00023437926581334372
-23.929999999999996,0.0003229940231946022
-23.829999999999995,0.00043912287766264093
-23.729999999999993,0.000589060377442708
-23.629999999999992,0.0007798039943059635
-23.52999999999999,0.001018911791970035
-23.42999999999999,0.0013142883788242652
-23.329999999999988,0.0016738979860582634
-23.229999999999986,0.0021054096905344373
-23.129999999999985,0.0026157867050771635
-23.029999999999983,0.0032108386302102973
-22.929999999999982,0.0038947618343185197
-22.82999999999998,0.004669697920384081
-22.72999999999998,0.005535342850678188
-22.629999999999978,0.006488639226160026
-22.529999999999976,0.007523581209191131
-22.429999999999975,0.008631155699549625
-22.329999999999973,0.009799435001138737
-22.229999999999972,0.011013826005999382
-22.12999999999997,0.012257469741748014
-22.02999999999997,0.013511773970988903
-21.929999999999968,0.014757051413963804
-21.829999999999966,0.015973228030746568
-21.729999999999965,0.017140580420665387
-21.629999999999963,0.01824045930125512
-21.529999999999962,0.01925595743711179
-21.42999999999996,0.02017248517989539
-21.32999999999996,0.02097822449063676
-21.229999999999958,0.021664442172442795
-21.129999999999956,0.022225654039331164
-21.029999999999955,0.02265964275352229
-20.929999999999954,0.022967341954707527
-20.829999999999952,0.023152607102751237
-20.72999999999995,0.023221898453252194
-20.62999999999995,0.023183903438039093
-20.529999999999948,0.02304912448760912
-20.429999999999946,0.022829454457582898
-20.329999999999945,0.022537756081181096
-20.229999999999944,0.022187455263194523
-20.129999999999942,0.021792151652792486
-20.02999999999994,0.02136524483631697
-19.92999999999994,0.02091957155436521
-19.829999999999938,0.020467049149459786
-19.729999999999936,0.020018323173341172
-19.629999999999935,0.019582422444106667
-19.529999999999934,0.01916643207687152
-19.429999999999932,0.018775202910049325
-19.32999999999993,0.018411122782745204
-19.22999999999993,0.018073979632385422
-19.129999999999928,0.01776094686145995
-19.029999999999927,0.01746671679496959
-18.929999999999925,0.01718379796696677
-18.829999999999924,0.016902977013326128
-18.729999999999922,0.01661392767259302
-18.62999999999992,0.016305930230388645
-18.52999999999992,0.015968647644476256
-18.429999999999918,0.015592892569472959
-18.329999999999917,0.015171315064224892
-18.229999999999915,0.014698945369716452
-18.129999999999914,0.014173539824287274
-18.029999999999912,0.013595699212251533
-17.92999999999991,0.012968754713527361
-17.82999999999991,0.012298443306481407
-17.729999999999908,0.011592417898599815
-17.629999999999907,0.01085965405001148
-17.529999999999905,0.010109822519067998
-17.429999999999904,0.009352694221350467
-17.329999999999902,0.008597632514845679
-17.2299999999999,0.007853209472490033
-17.1299999999999,0.007126961428674813
-17.029999999999898,0.006425278321438254
-16.929999999999897,0.005753404494844889
-16.829999999999895,0.0051155179560140075
-16.729999999999894,0.0045148515251228795
-16.629999999999892,0.003953822414323504
-16.52999999999989,0.0034341449227005974
-16.42999999999989,0.002956911846564771
-16.329999999999888,0.0025226414243247
-16.229999999999887,0.0021312960431281404
-16.129999999999885,0.0017822851014275085
-16.029999999999884,0.0014744667746335379
-15.929999999999882,0.0012061622204854502
-15.829999999999881,0.0009751918685561349
-15.72999999999988,0.0007789380933317222
-15.629999999999878,0.0006144330470156515
-15.529999999999877,0.0004784657935014635
-15.429999999999875,0.0003676998360242392
-15.329999999999874,0.00027879093886380404
-15.229999999999873,0.00020849569142495386
-15.129999999999871,0.0001537631514349026
-15.02999999999987,0.00011180458551821143
