#----------------------------------------------------------------------------------------------------------------------------------------------------
ID 	    PSRJ       Pref            RAJ           RAf    RAref     DECJ              DECf  DECref      P0                     P0f  P0ref     DM           DMf  DMref
#                               (hms)                              (dms)                              (s)                                    (cm^-3 pc)                   
#------------------------------------------------------------------------------------------------------------------------------------------------------
674   J1413-6141    kbm+03     14:13:09.87          9  kbm+03     -61:41:13            1  kbm+03     0.28562462018           16  kbm+03     677            8  kbm+03     
675   J1413-6222    mlc+01     14:13:05.47          8  mlc+01     -62:22:27.8         11  mlc+01     0.29240770249            3  mlc+01     808.1         12  mlc+01     

676   J1413-6307    jlm+92     14:13:31.316         8  jml+95     -63:07:35.45         7  jml+95     0.394945790784           2  jml+95     121.98         6  jml+95     
677   J1414-6802    ebvb01     14:14:25.7           1  ebvb01     -68:02:58            1  ebvb01     4.6301880619             4  ebvb01     153.5          6  ebvb01     
678   J1415-6621    ebvb01     14:15:31.27          3  hfs+04     -66:21:12.2          3  hfs+04     0.39247897310            5  hfs+04     260.17         7  hfs+04     
679   J1416-5033    bbb+12     14:16:44.6           2  bbb+12     -50:33:17            3  bbb+12     0.794882546              2  bbb+12     58.5           3  bbb+12     
680   J1416-6037    mlc+01     14:16:30.59         16  mlc+01     -60:37:59.5          9  mlc+01     0.29558048193            3  mlc+01     289.2         10  mlc+01     

681   J1417-4402    crr+16     14:17:30.60          9  scc+15     -44:02:57.4          9  scc+15     0.0026642160             4  crr+16     55.00          3  crr+16     
682   J1418-3921    mld+96     14:18:50.283         5  dsb+98     -39:21:18.51        10  dsb+98     1.09680600340            2  dsb+98     60.49          1  dsb+98     
683   J1418-5945    kbm+03     14:18:32.3           4  kbm+03     -59:45:00            3  kbm+03     1.6725956812             3  kbm+03     369           15  kbm+03     
684   J1420-5416    mlt+78     14:20:29.1           1  nmc81      -54:16:23            1  nmc81      0.9357719221             3  nmc81      129.6         12  nmc81      
685   J1420-5625    hfs+04     14:20:03.062         3  hfs+04     -56:25:55.00         3  hfs+04     0.03411713084786        12  hfs+04     64.56          9  hfs+04     

686   J1420-6048    dkm+01     14:20:08.237        16  dkm+01     -60:48:16.43        15  dkm+01     0.06817987659            2  dkm+01     358.8          2  waa+10     
687   J1423-6953    ebvb01     14:23:26.79          2  jbo+09     -69:53:42.82         8  jbo+09     0.333410710172           3  jbo+09     123.98        12  jbo+09     
688   J1424-5556    hfs+04     14:24:12.76          3  hfs+04     -55:56:13.9          3  hfs+04     0.770374845874          18  hfs+04     198.7         20  hfs+04     
689   J1424-56      kle+10     14:24:23            50  bbj+11     -56:40:47          420  bbj+11     1.427                    0  kkl+11     32.9          11  kkl+11     
690   J1424-5822    kbm+03     14:24:32.11          3  kbm+03     -58:22:56.0          2  kbm+03     0.366734060217           6  kbm+03     323.9          6  kbm+03     

691   J1424-6438    kbm+03     14:24:59.2           2  kbm+03     -64:38:10.0          9  kbm+03     1.02350369913            9  kbm+03     248            5  kbm+03     
692   J1425-5723    kbm+03     14:25:36.56          3  kbm+03     -57:23:30.8          4  kbm+03     0.35326292024            8  kbm+03     43.4          13  kbm+03     
693   J1425-5759    kbm+03     14:25:59.11          7  kbm+03     -57:59:10.2          9  kbm+03     0.70786760576            4  kbm+03     325            5  kbm+03     
694   J1425-6210    mlc+01     14:25:07.7           3  mlc+01     -62:10:04.9         10  mlc+01     0.50173030987            8  mlc+01     430.1         17  mlc+01     
695   J1427-4158    jbo+09     14:27:50.770         9  jbo+09     -41:58:56.3          3  jbo+09     0.586485556229          18  jbo+09     71             3  jbo+09     

696   J1428-5530    mlt+78     14:28:26.297        16  smd93      -55:30:50.2          2  smd93      0.570290462862           7  smd93      82.4           6  nmc81      
697   J1429-5935    mlc+01     14:29:25.90         10  mlc+01     -59:35:58.9         12  mlc+01     0.76391483053            8  mlc+01     456.7         20  mlc+01     
698   J1430-6623    lvw68      14:30:40.872        18  smd93      -66:23:05.04        14  smd93      0.785440757324           8  smd93      65.3           1  mka+73     
699   J1431-4715    btb+15     14:31:44.6177        2  btb+15     -47:15:27.574        4  btb+15     0.0020119534425332       9  btb+15     59.35          1  btb+15     
700   J1431-5740    bbb+13     14:31:03.4953        3  bbb+13     -57:40:11.670        4  bbb+13     0.0041105439567658      12  bbb+13     131.46         3  bbb+13     

701   J1432-5032    kjv+10     14:32:52.27          7  bbb+12     -50:32:17.3          6  bbb+12     2.0349894792             3  bbb+12     113            1  bbb+12     
702   J1433-6038    kel+09     14:33:13.18          6  kel+09     -60:38:34.7          8  kel+09     1.9544296353             5  kel+09     409            2  kel+09     
703   J1434-6006    kbm+03     14:34:05.3           2  kbm+03     -60:06:29.0          9  kbm+03     0.30636786268            4  kbm+03     332            4  kbm+03     
704   J1434-6029    mlc+01     14:34:39.1           3  mlc+01     -60:29:49            3  mlc+01     0.96334832315           16  mlc+01     282            3  mlc+01     
705   J1434+7257    slr+14     14:33:59.7370        9  slr+14     +72:57:26.512        6  slr+14     0.04174114783993         3  slr+14     12.605         1  slr+14     

706   J1435-5954    hfs+04     14:35:00.36          5  hfs+04     -59:54:49.2          3  hfs+04     0.472995435514          16  hfs+04     44.26         11  hfs+04     
707   J1435-6100    clm+01     14:35:20.2765        5  clm+01     -61:00:57.956        7  clm+01     0.009347972210248        7  clm+01     113.7          6  clm+01     
708   J1437-5959    cng+09     14:37:01.91          3  cng+09     -59:59:01.4          3  cng+09     0.0616961234035          9  cng+09     549.6         11  cng+09     
709   J1437-6146    hfs+04     14:37:15.31          9  hfs+04     -61:46:02.0          8  hfs+04     0.46761632345            7  hfs+04     200.5         13  hfs+04     
710   J1439-5501    fsk+04     14:39:39.7420        4  lfl+06     -55:01:23.621        6  lfl+06     0.028634888190455       12  lfl+06     14.56          5  lfl+06     

711   J1439+76      kkl+15     14:39                2  kkl+15     +76:55              36  kkl+15     0.947903                 2  kkl+15     22.29          2  kkl+15     
712   J1440-6344    mlt+78     14:40:31.307        18  nmc81      -63:44:47.6          2  nmc81      0.45960536385            3  nmc81      124.2          5  nmc81      
713   J1441-6137    kbm+03     14:41:44.3           1  kbm+03     -61:37:24            2  kbm+03     1.17584002290           10  kbm+03     166            3  kbm+03     
714   J1443-5122    kjv+10     14:43:26.97          6  bbb+12     -51:22:26            1  bbb+12     0.7320612647             5  bbb+12     87.0           7  bbb+12     
715   J1444-5941    mlc+01     14:44:46.5           3  mlc+01     -59:41:19            3  mlc+01     2.7602279448             6  mlc+01     177.1         19  mlc+01     

716   J1444-6026    mll+06     14:44:06.02          7  mlk+09     -60:26:09.4          4  mlk+09     4.7585755679             2  mlk+09     367.7         14  mlk+09     
717   J1446-4701    kjb+12     14:46:35.71391       2  nbb+14     -47:01:26.7675       4  nbb+14     0.00219469577985001      7  nbb+14     55.83202      14  nbb+14     
718   J1449-5846    kbm+03     14:49:25.43          6  kbm+03     -58:46:40.4          7  kbm+03     0.463329577191          18  kbm+03     216.6         18  kbm+03     
719   J1452-5851    mlc+01     14:52:52.58          7  mlc+01     -58:51:13.3         20  mlc+01     0.38662501748            3  mlc+01     262.4         15  mlc+01     
720   J1452-6036    kbm+03     14:52:51.898         8  kbm+03     -60:36:31.35         6  kbm+03     0.1549913579183          8  kbm+03     349.7          3  kbm+03     

721   J1453+1902    lmcs07     14:53:45.7175        1  lmcs07     +19:02:12.224        3  lmcs07     0.0057923027349664       4  lmcs07     14.049         4  lmcs07     
722   J1453-6413    lvw69a     14:53:32.737        10  smd93      -64:13:15.59         8  smd93      0.1794847539641         11  smd93      71.07          2  tml93      
723   J1454-5846    clm+01     14:54:10.908         3  clm+01     -58:46:34.74         3  clm+01     0.04524877299803        11  clm+01     115.95        16  clm+01     
724   J1455-3330    lnl+95     14:55:47.969869     14  dcl+16     -33:30:46.3801       4  dcl+16     0.007987204929333        3  dcl+16     13.5708       12  hlk+04     
725   J1455-59      kek+13     14:55:06            30  kek+13     -59:23               7  kek+13     0.1761912                2  kek+13     498.0          0  kek+13     

726   J1456-48      bcm+15     14:56                4  bcm+15     -48:00              40  bcm+15     0.53681                  0  bcm+15     133.0          0  bcm+15     
727   J1456-6843    lvw68      14:56:00.158        14  smd93      -68:43:39.25         9  smd93      0.2633768148933         19  smd93      8.6            2  dmk+93     
728   J1457-5122    mlt+78     14:57:40.19         12  nmc81      -51:22:53            3  nmc81      1.7483010801             7  nmc81      37             5  nmc81      
729   J1457-5900    kbm+03     14:57:39.0           2  kbm+03     -59:00:51            3  kbm+03     1.4986374368             4  kbm+03     175            4  kbm+03     
730   J1457-5902    kbm+03     14:57:31.9           1  kbm+03     -59:02:04            2  kbm+03     0.39073936418            5  kbm+03     477.2         19  kbm+03     

731   J1501-0046    lbr+13     15:01:44.9558       94  lbr+13     -00:46:23.52        88  lbr+13     0.4640368139284         82  lbr+13     22.2584       90  lbr+13     
732   J1501-5637    kbm+03     15:01:51.0           4  kbm+03     -56:37:48            5  kbm+03     0.7829485661             3  kbm+03     258           10  kbm+03     
733   J1502-5653    hfs+04     15:02:57.389        11  hfs+04     -56:53:39.21        12  hfs+04     0.535504397790           3  hfs+04     194.0          4  hfs+04     
734   J1502-5828    kbm+03     15:02:43.8           3  kbm+03     -58:28:42            6  kbm+03     0.66810515091           14  kbm+03     584            4  kbm+03     
735   J1502-6128    kbm+03     15:02:29.84          5  kbm+03     -61:28:50.3          5  kbm+03     0.84210384000            3  kbm+03     256.5         14  kbm+03     

736   J1502-6752    kjb+12     15:02:18.615         2  nbb+14     -67:52:16.759       18  nbb+14     0.02674442376700         6  nbb+14     151.2         18  nbb+14     
737   J1503+2111    clm+05     15:03:54.60          4  clm+05     +21:11:09.3          5  clm+05     3.31400150122           12  clm+05     3.2603        41  bkk+16     
738   J1504-5621    kbm+03     15:04:49.14          7  kbm+03     -56:21:32            1  kbm+03     0.41298519981            3  kbm+03     143            5  kbm+03     
739   J1506-5158    mlt+78     15:06:39.5           7  nmc81      -51:58:10           10  nmc81      0.840738545              3  nmc81      61.0          17  nmc81      
740   J1507-4352    mlt+78     15:07:34.18          3  nmc81      -43:52:03.2          8  nmc81      0.28675704522            3  nmc81      48.7           5  nmc81      

741   J1507-6640    mlt+78     15:07:48.66          7  nmc81      -66:40:57.1          6  nmc81      0.35565490117            6  nmc81      129.8          5  nmc81      
742   J1509+5531    htg+68     15:09:25.6298        1  cbv+09     +55:31:32.394        2  cbv+09     0.739681922904           4  hlk+04     19.6191        3  srb+15     
743   J1509-5850    kbm+03     15:09:27.13          3  kbm+03     -58:50:56.1          5  kbm+03     0.088921760489           3  kbm+03     140.6          8  waa+10     
744   J1509-6015    kbm+03     15:09:07.5           1  kbm+03     -60:15:18.6          6  kbm+03     0.33903844870            4  kbm+03     423.6         17  kbm+03     
745   J1510-4422    mlt+78     15:10:48.9           4  nmc81      -44:22:07            6  nmc81      0.9438712975            11  nmc81      84             7  nmc81      

746   J1511-5414    kbm+03     15:11:51.308         6  kbm+03     -54:14:40.3          1  kbm+03     0.2003836959221         17  kbm+03     84.76         17  kbm+03     
747   J1511-5835    kbm+03     15:11:07.0           3  kbm+03     -58:35:28            1  kbm+03     0.30151055002            4  kbm+03     332            3  kbm+03     
748   J1512-5431    kbm+03     15:12:05.7           2  kbm+03     -54:31:19            3  kbm+03     2.0405315742             3  kbm+03     219            6  kbm+03     
749   J1512-5759    jlm+92     15:12:43.026        11  jml+95     -57:59:59.8          2  jml+95     0.128694148448           2  jml+95     628.7          2  jml+95     
750   J1513-5739    mlc+01     15:13:58.99          9  mlc+01     -57:39:01.4         13  mlc+01     0.97345803480            9  mlc+01     469.7         10  mlc+01     

751   J1513-5908    sh82       15:13:55.62          9  kms+94     -59:08:09.0         10  kms+94     0.15125125831483         7  lk11       252.5          3  hfs+04     
752   J1513-5946    kle+10     15:13:44.78          1  kkl+11     -59:46:31.9          7  kkl+11     1.046117156733           8  kkl+11     171.7          9  kkl+11     
753   J1514-4834    mlt+78     15:14:14.56          6  nmc81      -48:34:19.5         11  nmc81      0.45483920949            9  nmc81      51.5           8  nmc81      
754   J1514-4946    kcj+12     15:14:19.1141        1  ckr+15     -49:46:15.516        5  ckr+15     0.0035893366796749       7  ckr+15     31.05          2  ckr+15     
755   J1514-5925    kbm+03     15:14:59.10          4  kbm+03     -59:25:43.3          5  kbm+03     0.148796488226           5  kbm+03     194.1         13  kbm+03     

756   J1515-5720    kbm+03     15:15:09.3           1  kbm+03     -57:20:49            3  kbm+03     0.28664619650            4  kbm+03     482            5  kbm+03     
757   J1517-4356    ebvb01     15:17:27.34          1  ebvb01     -43:56:17.9          2  ebvb01     0.650836871901           6  ebvb01     87.78         12  ebvb01     
758   J1517-4636    kjv+10     15:17:29.376         9  bbb+12     -46:36:00.6          2  bbb+12     0.88661249686            5  bbb+12     127.0          1  bbb+12     
759   J1518+0204A   wakp89     15:18:33.3176        6  awkp97     +02:05:27.55         3  awkp97     0.005553592524205        2  awkp97     30.08          5  awkp97     
760   J1518+0204B   wakp89     15:18:31.458         3  awkp97     +02:05:15.47         5  awkp97     0.007946940657879       21  awkp97     29.47         11  awkp97     

761   J1518+0204C   hrs+07     15:18:32.788893     21  prf+14     +02:04:47.8153       8  prf+14     0.0024839275702455       6  prf+14     29.3146        6  prf+14     
762   J1518+0204D   hrs+07     15:18:34             0  har96      +02:04:58            0  har96      0.002988                 1  hrs+07     29.3           1  hrs+07     
763   J1518+0204E   hrs+07     15:18:34             0  har96      +02:04:58            0  har96      0.003182                 1  hrs+07     29.3           1  hrs+07     
764   J1518-0627    lbr+13     15:18:59.1104       80  lbr+13     -06:27:07.70        66  lbr+13     0.7949966745699         78  lbr+13     27.9631       98  lbr+13     
765   J1518+4904    nst96      15:18:16.799084     16  jsk+08     +49:04:34.25119     16  jsk+08     0.0409349889083329       6  jsk+08     11.61139       8  jsk+08     

766   J1518-5415    kel+09     15:18:13.50          1  kel+09     -54:15:45.0          3  kel+09     0.214924800284           6  kel+09     167.2          2  kel+09     
767   J1519-5734    lfl+06     15:19:47.59          6  lfl+06     -57:34:13.6          7  lfl+06     0.51875778474            3  lfl+06     664            3  lfl+06     
768   J1519-6106    lfl+06     15:19:35.81         11  lfl+06     -61:06:54.6         12  lfl+06     2.15430706064           14  lfl+06     221            3  lfl+06     
769   J1519-6308    hfs+04     15:19:09.56         18  hfs+04     -63:08:19.5         10  hfs+04     1.25405163056           10  hfs+04     250            3  hfs+04     
770   J1522-5525    kbm+03     15:22:06.7           1  kbm+03     -55:25:17.5          9  kbm+03     1.3896046876            16  kbm+03     79             3  kbm+03     

771   J1522-5829    jlm+92     15:22:42.27          2  jml+95     -58:29:02.7          2  jml+95     0.395352859901           3  jml+95     199.9          2  jml+95     
772   J1524-5625    kbm+03     15:24:49.86          4  kbm+03     -56:25:23.4          6  kbm+03     0.078218548881           5  kbm+03     152.7         10  kbm+03     
773   J1524-5706    kbm+03     15:24:21.43          7  kbm+03     -57:06:35            2  kbm+03     1.11604861927            8  kbm+03     833            3  kbm+03     
774   J1524-5819    kel+09     15:24:24.65          2  kel+09     -58:19:14.1          4  kel+09     0.96104262694           10  kel+09     406.6          5  kel+09     
775   J1525-5417    kbm+03     15:25:28.35          6  kbm+03     -54:17:20            1  kbm+03     1.01169421772            7  kbm+03     235            3  kbm+03     

776   J1525-5523    ncb+15     15:25:36.064         7  ncb+15     -55:23:27.2          2  ncb+15     0.3551560369998         16  ncb+15     124.7          3  ncb+15     
777   J1525-5545    nbb+14     15:25:28.1340        2  nbb+14     -55:45:49.842        5  nbb+14     0.011359881791767       19  nbb+14     126.934        7  nbb+14     
778   J1525-5605    kbm+03     15:25:41.45          9  kbm+03     -56:05:13            2  kbm+03     0.28034866206            4  kbm+03     338            3  kbm+03     
779   J1526-5633    kbm+03     15:26:41.2           1  kbm+03     -56:33:43            3  kbm+03     0.30188789663            5  kbm+03     329            4  kbm+03     
780   J1527-3931    mlt+78     15:27:58.93          8  nmc81      -39:31:35            3  nmc81      2.4175822701             9  nmc81      49             3  nmc81      

781   J1527-5552    mlt+78     15:27:40.9           2  nmc81      -55:52:07            3  nmc81      1.0487048866             6  nmc81      362.7          8  hfs+04     
782   J1528-3146    jbo+07     15:28:34.9542        2  jbo+07     -31:46:06.836        8  jbo+07     0.06082223035146         1  jbo+07     18.163         6  jbo+07     
783   J1528-4109    ebvb01     15:28:08.033         8  ebvb01     -41:09:28.8          2  ebvb01     0.526556139140           4  ebvb01     89.50         10  ebvb01     
784   J1528-5547    ncb+15     15:28:39.18         12  ncb+15     -55:47:23            2  ncb+15     3.4673015170            17  ncb+15     269            0  ncb+15     
785   J1529-3828    nbb+14     15:29:15.1066       10  nbb+14     -38:28:45.85         3  nbb+14     0.00848628211574         6  nbb+14     73.62          2  nbb+14     

786   J1529-5355    kbm+03     15:29:57.6           3  kbm+03     -53:55:36            5  kbm+03     0.8912645399             4  kbm+03     292            9  kbm+03     
787   J1529-5611    kbm+03     15:29:35.8           6  kbm+03     -56:11:29           13  kbm+03     0.8222487311             5  kbm+03     149           10  kbm+03     
788   J1530-5327    mlc+01     15:30:26.87          6  mlc+01     -53:27:56.3          7  mlc+01     0.278956721152          15  mlc+01     49.6          10  mlc+01     
789   J1530-63      bbb+12     15:30:52             0  bbb+12     -63:43:33            0  bbb+12     0.9103                   0  bbb+12     206.50        15  tjb+14     
790   J1531-4012    ebvb01     15:31:08.05          1  ebvb01     -40:12:30.9          4  ebvb01     0.356849312855           6  ebvb01     106.65        12  ebvb01     

791   J1531-5610    kbm+03     15:31:27.91          1  kbm+03     -56:10:55.0          1  kbm+03     0.0842016828855          8  kbm+03     110.9          4  kbm+03     
792   J1532+2745    dth78      15:32:10.364         9  hlk+04     +27:45:49.40        14  hlk+04     1.124835742767           7  hlk+04     14.691        16  bkk+16     
793   J1532-5308    kbm+03     15:32:35.5           1  kbm+03     -53:08:06            2  kbm+03     0.44382460830            4  kbm+03     181            3  kbm+03     
794   J1532-56      ncb+15     15:32:18            30  ncb+15     -56:32               7  ncb+15     0.52297708597           13  ncb+15     282            0  ncb+15     
795   J1534-4428    bbb+12     15:34:52.00          5  bbb+12     -44:28:09.4          8  bbb+12     1.2214259588             3  bbb+12     137.3          2  bbb+12     

796   J1534-46      bb10       15:34:08            42  bb10       -46:14              15  bb10       0.364835                 9  bb10       64.4          78  bb10       
797   J1534-5334    lvw68      15:34:08.37          2  smd93      -53:34:19.3          3  smd93      1.36888090921            2  smd93      24.82          1  mka+73     
798   J1534-5405    jlm+92     15:34:33.59          3  jml+95     -54:05:39.7          5  jml+95     0.289688895200           6  jml+95     190.82         2  jml+95     
799   J1535-4114    ebvb01     15:35:17.07          1  ebvb01     -41:14:03.1          3  ebvb01     0.432866133845           6  ebvb01     66.28         14  ebvb01     
800   J1535-4415    ebvb01     15:35:55.92          7  jbo+09     -44:15:08.4         12  jbo+09     0.46840160422            3  jbo+09     110.7          5  jbo+09     

801   J1535-5450    kbm+03     15:35:58.26          6  kbm+03     -54:50:26            1  kbm+03     0.56673415672            4  kbm+03     219.8         14  kbm+03     
802   J1535-5848    kbm+03     15:35:16.76          4  kbm+03     -58:48:27.7          3  kbm+03     0.307177662775           7  kbm+03     107.0          7  kbm+03     
803   J1536-3602    jbo+09     15:36:17.382        14  jbo+09     -36:02:58.8          5  jbo+09     1.31975904174            5  jbo+09     96             6  jbo+09     
804   J1536-4948    rap+12     15:36                0  rap+12     -49:48               0  rap+12     0.00308                  0  rap+12     38.0           0  rap+12     
805   J1536-5433    mlc+01     15:36:04.82         19  mlc+01     -54:33:15            4  mlc+01     0.8814384311             3  mlc+01     147.5         19  mlc+01     

806   J1536-5907    kel+09     15:36:17.72          2  kel+09     -59:07:03.6          6  kel+09     0.55784066031            3  kel+09     316            2  kel+09     
807   J1537+1155    wol91a     15:37:09.961730      3  fst14      +11:55:55.43387      6  fst14      0.03790444117830463     16  fst14      11.61944       2  fst14      
808   J1537-4912    ebvb01     15:37:28.2           2  jbo+09     -49:12:03            3  jbo+09     0.30131077523            8  jbo+09     69.7          14  jbo+09     
809   J1537-5153    kbm+03     15:37:15.73          6  kbm+03     -51:53:06            1  kbm+03     1.52812410566           12  kbm+03     93             4  kbm+03     
810   J1537-5645    mlc+01     15:37:51.0           3  mlc+01     -56:45:04            7  mlc+01     0.43046412386           15  mlc+01     707            5  mlc+01     

811   J1538+2345    kkl+15     15:38:06.07          2  kkl+15     +23:45:04.0          2  kkl+15     3.44938495332           10  kkl+15     14.909         1  kkl+15     
812   J1538-5438    mlc+01     15:38:48.95         15  mlc+01     -54:38:17            3  mlc+01     0.27672613726            5  mlc+01     136.9         17  mlc+01     
813   J1538-5519    kel+09     15:38:40.83          9  kel+09     -55:19:46            2  kel+09     0.39573063893            8  kel+09     611            3  kel+09     
814   J1538-5551    hfs+04     15:38:45.03          4  hfs+04     -55:51:36.9          6  hfs+04     0.104674920844           4  hfs+04     603            3  hfs+04     
815   J1538-5621    ncb+15     15:38:43.29          2  ncb+15     -56:21:55.5          4  ncb+15     1.90849449143            2  ncb+15     150           18  ncb+15     

816   J1538-5638    kbm+03     15:38:05.7           2  kbm+03     -56:38:12            4  kbm+03     0.84398039688           14  kbm+03     546            7  kbm+03     
817   J1538-5732    lfl+06     15:38:18.18          3  lfl+06     -57:32:29.3          4  lfl+06     0.341212811806           6  lfl+06     152.7          8  lfl+06     
818   J1538-5750    kbm+03     15:38:08.41          4  kbm+03     -57:50:17.1          6  kbm+03     0.506568335296          18  kbm+03     91             4  kbm+03     
819   J1539-4828    ekl09      15:39:40.84          6  eklk13     -48:28:57            1  eklk13     1.27284159978           14  eklk13     117            5  eklk13     
820   J1539-5521    kbm+03     15:39:07.97          7  kbm+03     -55:21:11.2          8  kbm+03     1.00495831813            8  kbm+03     380            5  kbm+03     

821   J1539-5626    jlm+92     15:39:13.96          2  jml+95     -56:26:25.4          4  jml+95     0.24339220040            2  jml+95     175.88         6  hfs+04     
822   J1539-6322    ebvb01     15:39:24.70          3  jbo+09     -63:22:53.2          2  jbo+09     1.63084630957            3  jbo+09     163.5          3  jbo+09     
823   J1540-5736    mlc+01     15:40:59.02         12  mlc+01     -57:36:57            3  mlc+01     0.61291628569            8  mlc+01     304.5         13  mlc+01     
824   J1541-5535    kbm+03     15:41:49.6           4  kbm+03     -55:35:01            5  kbm+03     0.29583755345            9  kbm+03     428            5  kbm+03     
825   J1542-5034    mld+96     15:42:45.471        10  dsb+98     -50:34:01.4          2  dsb+98     0.5992450364             1  dsb+98     91.0           6  hfs+04     

826   J1542-5133    hfs+04     15:42:19.93         13  hfs+04     -51:33:35            3  hfs+04     1.7838649877             3  hfs+04     186            4  hfs+04     
827   J1542-5303    kbm+03     15:42:54.51          4  kbm+03     -53:03:41            1  kbm+03     1.20756776526            6  kbm+03     265.7         12  kbm+03     
828   J1543-0620    mlt+78     15:43:30.1579       16  hlk+04     -06:20:45.25         8  hlk+04     0.709064069786           4  hlk+04     18.3774        9  srb+15     
829   J1543+0929    ls69       15:43:38.8250        1  cbv+09     +09:29:16.339        2  cbv+09     0.748448416229           6  hlk+04     34.9758       16  bkk+16     
830   J1543-5013    kbm+03     15:43:58.25          8  kbm+03     -50:13:58            1  kbm+03     0.6442550645             6  kbm+03     211            3  kbm+03     

831   J1543-5149    kjb+12     15:43:44.1498        2  nbb+14     -51:49:54.685        2  nbb+14     0.0020569603924157       6  nbb+14     50.93         14  nbb+14     
832   J1543-5459    mlc+01     15:43:56.25          7  mlc+01     -54:59:13.7         12  mlc+01     0.37711856263            3  mlc+01     345.7         10  mlc+01     
833   J1544+4937    brr+13     15:44:04.48722       2  brr+13     +49:37:55.2545       2  brr+13     0.00215928839043292      5  brr+13     23.2258        1  brr+13     
834   J1544-5308    mlt+78     15:44:59.844        18  nmc81      -53:08:46.5          5  nmc81      0.178553799688          14  nmc81      35.16          7  hfs+04     
835   J1545-4550    bbb+13     15:45:55.94596       4  bbb+13     -45:50:37.5272       8  bbb+13     0.00357528861884712     12  bbb+13     68.390         8  bbb+13     

836   J1546-3747A   lr11       15:46:03.44          0  sw86       -37:47:10.1          0  sw86       0.0026056722466          1  lr11       92.17          4  lr11       
837   J1546-5302    kbm+03     15:46:07.4           1  kbm+03     -53:02:23.0          9  kbm+03     0.58083988615            4  kbm+03     287            3  kbm+03     
838   J1546-59      mlb+12     15:46                0  mlb+12     -59                  0  mlb+12     0.00780                  0  mlb+12     168.3          0  mlb+12     
839   J1547-0944    lbr+13     15:47:46.058        36  lbr+13     -09:44:07.8         32  lbr+13     1.576924632943          44  lbr+13     37.416        22  lbr+13     
840   J1547-5750    hfs+04     15:47:30.60         10  hfs+04     -57:50:29.4         15  hfs+04     0.64719774666            6  hfs+04     148            4  hfs+04     

841   J1547-5839    kbm+03     15:47:34.99          4  kbm+03     -58:39:09.8          7  kbm+03     0.242190323768          10  kbm+03     222.3         12  kbm+03     
842   J1548-4821    kbm+03     15:48:23.26          3  kbm+03     -48:21:49.7          6  kbm+03     0.14565471947            3  kbm+03     126.0          5  kbm+03     
843   J1548-4927    kbm+03     15:48:19.47          3  kbm+03     -49:27:40.4          5  kbm+03     0.602738077704          19  kbm+03     141.2          6  kbm+03     
844   J1548-5607    mlc+01     15:48:44.03          3  mlc+01     -56:07:33.9          5  mlc+01     0.170933992695           5  mlc+01     315.5          4  mlc+01     
845   J1549+2113    fcwa95     15:49:40.941         5  lxf+05     +21:13:26.9          1  lxf+05     1.262471311613           5  lxf+05     24.0553       36  bkk+16     

846   J1549-4848    mld+96     15:49:21.154         4  dsb+98     -48:48:37.44         8  dsb+98     0.288346763122           2  dsb+98     55.983         8  dsb+98     
847   J1549-57      bbj+11     15:49:05            52  bbj+11     -57:21:37          420  bbj+11     0.7375                   3  bbj+11     17.7          35  bbj+11     
848   J1549-5722    kbm+03     15:49:47.9           1  kbm+03     -57:22:02            1  kbm+03     0.49777239400            8  kbm+03     102            4  kbm+03     
849   J1550-5242    kbm+03     15:50:02.95          5  kbm+03     -52:42:07.0          8  kbm+03     0.74965894957            4  kbm+03     337.7         18  kbm+03     
850   J1550-5317    kbm+03     15:50:04.8           1  kbm+03     -53:17:21            2  kbm+03     1.42112434544           13  kbm+03     600            8  kbm+03     

851   J1550-5418    crhr07     15:50:54.12386      64  dcrh12     -54:18:24.1141      20  dcrh12     2.06983302               4  crhr07     830           50  crhr07     
852   J1551-0658    hrm+11     15:51:07.215        40  rb13       -06:58:06.5          6  rb13       0.00709                  0  hrm+11     21.6           0  hrm+11     
853   J1551-4424    bbb+12     15:51:48.02          5  bbb+12     -44:24:42            1  bbb+12     0.6740603610             2  bbb+12     66.5           4  bbb+12     
854   J1551-5310    hfs+04     15:51:41.25          6  hfs+04     -53:10:59.6          8  hfs+04     0.453394164640          11  hfs+04     493            2  hfs+04     
855   J1552-4937    fsk+04     15:52:13.2709        4  lem+15     -49:37:49.744       11  lem+15     0.0062843113814174      12  lem+15     114.19         8  lem+15     

856   J1552-62      bbb+12     15:52:38             0  bbb+12     -62:14:31            0  bbb+12     0.1988                   0  bbb+12     120            0  bbb+12     
857   J1553-5456    mlt+78     15:53:59.6           4  nmc81      -54:56:06            7  nmc81      1.0813282469            15  nmc81      210            7  nmc81      
858   J1554-5209    kle+10     15:54:27.15          2  kkl+11     -52:09:38.3          4  kkl+11     0.1252295584025          7  kkl+11     130.8          3  kkl+11     
859   J1554-5512    kbm+03     15:54:40.5           4  kbm+03     -55:12:33           12  kbm+03     3.418039313              3  kbm+03     450           12  kbm+03     
860   J1555-0515    blr+13     15:55:40.097        16  blr+13     -05:15:57.4          5  blr+13     0.97540989108            5  blr+13     23.46          3  blr+13     

861   J1555-2341    mlt+78     15:55:33.184        17  hlk+04     -23:41:09.9         11  hlk+04     0.5325777412091         18  hlk+04     51.901        15  hlk+04     
