#----------------------------------------------------------------------------------------------------------------------------------------------------
ID 	    PSRJ       Pref            RAJ           RAf    RAref     DECJ              DECf  DECref      P0                     P0f  P0ref     DM           DMf  DMref
#                               (hms)                              (dms)                              (s)                                    (cm^-3 pc)                   
#------------------------------------------------------------------------------------------------------------------------------------------------------
42    J0051+0423    snt97      00:51:30.1           2  snt97      +04:22:49            6  snt97      0.35473179890            1  snt97      13.9           1  snt97      
43    J0053+69      slr+14     00:53                3  slr+14     +69:39              18  slr+14     0.832938                28  slr+14     117            2  slr+14     
44    J0054+66      hrk+08     00:54                0  hrk+08     +66                  0  hrk+08     1.39                     0  hrk+08     15             0  hrk+08     
45    J0055+5117    dtws85     00:55:45.378        10  hlk+04     +51:17:24.97        11  hlk+04     2.115171148865           4  hlk+04     44.0127       24  bkk+16     

46    J0056+4756    dtws85     00:56:25.51          2  hlk+04     +47:56:10.5          3  hlk+04     0.472036662076           7  hlk+04     18.1354       13  bkk+16     
47    J0057-7201    ckm+01     00:57:44.0           4  ckm+01     -72:01:19            2  ckm+01     0.7380624426             2  ckm+01     27             5  ckm+01     
48    J0058+6125    hrk+08     00:58                0  hrk+08     +61:25               0  hrk+08     0.637                    0  hrk+08     129            0  hrk+08     
49    J0059+50      slr+14     00:59                2  slr+14     +50:02              18  slr+14     0.996009                61  slr+14     67             2  slr+14     
50    J0101-6422    kcj+12     01:01:11.1163        2  kcj+12     -64:22:30.171        2  kcj+12     0.0025731519721683       2  kcj+12     11.926         1  kcj+12     

51    J0102+4839    hrm+11     01:03                0  hrm+11     +48:00               0  *          0.00296                  0  hrm+11     53.5           0  hrm+11     
52    J0102+6537    dbtb82     01:02:32.958        16  hlk+04     +65:37:13.40        11  hlk+04     1.679164229064          12  hlk+04     65.853        16  hlk+04     
53    J0103+54      kkl+15     01:03:37            20  kkl+15     +54:02               5  kkl+15     0.354304                 6  kkl+15     55.605         4  kkl+15     
54    J0106+4855    pga+12     01:06:25.06          1  pga+12     +48:55:51.8          2  pga+12     0.0831573050050          6  pga+12     70.87         20  pga+12     
55    J0108-1431    tnj+94     01:08:08.347016     88  dtbr09     -14:31:50.1871      11  dtbr09     0.807564614019          20  hlk+04     2.38          19  hlk+04     

56    J0108+6608    dls72      01:08:22.64          5  hlk+04     +66:08:34.0          3  hlk+04     1.2836598429             5  hlk+04     30.5482       14  bkk+16     
57    J0108+6905    dtws85     01:08:29.50          2  hlk+04     +69:05:52.63        11  hlk+04     1.071118109859           5  hlk+04     61.0617       36  bkk+16     
58    J0111-7131    mfl+06     01:11:28.77          9  mfl+06     -71:31:46.8          6  mfl+06     0.68854151164            5  mfl+06     76             3  mfl+06     
59    J0112+66      slr+14     01:12                3  slr+14     +66:22              18  slr+14     4.30124                 70  slr+14     112            3  slr+14     
60    J0113-7220    ckm+01     01:13:11.09          3  ckm+01     -72:20:32.20        15  ckm+01     0.32588301613            1  ckm+01     125.49         3  ckm+01     

61    J0117+5914    stwd85     01:17:38.661         3  hlk+04     +59:14:38.39         3  hlk+04     0.1014390664824         20  hlk+04     49.42068      59  bkk+16     
62    J0125+62      slr+14     01:26                3  slr+14     +62:35              18  slr+14     1.708233                98  slr+14     118            2  slr+14     
63    J0131-7310    mfl+06     01:31:28.51          3  mfl+06     -73:10:09.34        13  mfl+06     0.348124045581           7  mfl+06     205.2          7  mfl+06     
64    J0133-6957    lml+98     01:33:32.46          1  dsb+98     -69:57:29.68         3  dsb+98     0.463473741703           3  dsb+98     22.948         8  dsb+98     
65    J0134-2937    mld+96     01:34:18.6824        3  lwy+16     -29:37:17.042        7  lwy+16     0.136961610513651       14  lwy+16     21.806         6  hlk+04     

66    J0136+63      slr+14     01:36                3  slr+14     +63:42              18  slr+14     0.717895                27  slr+14     286            2  slr+14     
67    J0137+1654    lxf+05     01:37:23.88          1  lxf+05     +16:54:42.1          4  lxf+05     0.4147630265082          5  lxf+05     26.0838       24  bkk+16     
68    J0139+5621    cvh+14     01:39:38.56          2  cvh+14     +56:21:36.8          4  cvh+14     1.77534382596           10  cvh+14     101.842       32  cvh+14     
69    J0139+5814    dth78      01:39:19.7401       12  cbv+09     +58:14:31.819       17  cbv+09     0.272450630950          15  hlk+04     73.81141      76  bkk+16     
70    J0141+6009    mth72      01:41:39.938         8  hlk+04     +60:09:32.30         7  hlk+04     1.2229485205457         18  hlk+04     34.926         4  srb+15     

71    J0141+63      slr+14     01:41                2  slr+14     +63:08               8  slr+14     0.04668588              49  slr+14     272.6          4  slr+14     
72    J0146+31      ttol16     01:46:15            40  ttol16     +31:04              10  ttol16     0.9381                   0  ttol16     25             1  ttol16     
73    J0147+5922    stwd85     01:47:44.6457       17  ywml10     +59:22:03.293       15  ywml10     0.19632137543003        16  ywml10     40.111         3  hlk+04     
74    J0151-0635    mlt+78     01:51:22.701        11  hlk+04     -06:35:02.8          4  hlk+04     1.464664549334           7  hlk+04     25.66          3  hlk+04     
75    J0152+0948    clm+05     01:52:23.73          5  clm+05     +09:48:10            2  clm+05     2.74664729014           10  clm+05     22.881        12  bkk+16     

76    J0152-1637    mlt+78     01:52:10.8536       17  hlk+04     -16:37:52.99         4  hlk+04     0.8327416126878         13  hlk+04     11.92577       4  srb+15     
77    J0156+3949    dtws85     01:56:55.2           3  hlk+04     +39:49:29            5  hlk+04     1.81156061131           10  hlk+04     59.833        11  bkk+16     
78    J0157+6212    dls72      01:57:49.93          3  hlk+04     +62:12:25.90        17  hlk+04     2.35174493646            7  hlk+04     30.21          3  hlk+04     
79    J0158+21      dsm+13     01:58:29            32  dsm+13     +21:08               8  dsm+13     0.5053                   0  dsm+13     20             0  dsm+13     
80    J0201+7005    kkl+15     02:01:41.344         7  kkl+15     +70:05:18.11         6  kkl+15     1.349184471846          10  kkl+15     21.029         2  kkl+15     

81    J0205+6449    mss+02     02:05:37.92247      15  bkr+13     +64:49:41.3343      10  bkr+13     0.06571592849324         9  lrc+09     140.7          3  csl+02     
82    J0206-4028    mlt+78     02:06:01.268         9  smd93      -40:28:04.33        14  smd93      0.630550140847           6  smd93      12.9          12  nmc81      
83    J0211-8159    lml+98     02:11:59.0           3  dsb+98     -81:59:36.2          3  dsb+98     1.0773327013             8  dsb+98     24.36          3  dsb+98     
84    J0212+5222    bck+13     02:12:52.2           6  bck+13     +52:22:45           13  bck+13     0.376386292              1  bck+13     38.23555      45  bkk+16     
85    J0214+5222    slr+14     02:14:55.2713       34  slr+14     +52:22:40.95        19  slr+14     0.02457529479071        22  slr+14     22.0354       34  slr+14     

86    J0215+6218    llc98      02:15:56.626        10  hlk+04     +62:18:33.37        10  hlk+04     0.548879819155           3  hlk+04     84.00          5  hlk+04     
87    J0218+4232    nbf+95     02:18:06.358569      4  dyc+14     +42:32:17.37515      8  dyc+14     0.00232309053151224      8  dcl+16     61.252         5  hlk+04     
88    J0220+36      ttol16     02:20:50            60  ttol16     +36:22              15  ttol16     1.0297                   0  ttol16     40            10  ttol16     
89    J0229+20      dsm+13     02:29:03            32  dsm+13     +20:58               8  dsm+13     0.8069                   0  dsm+13     27             0  dsm+13     
90    J0231+7026    dtws85     02:31:13.99          3  hlk+04     +70:26:33.88        17  hlk+04     1.466820306152           7  hlk+04     46.6794       16  bkk+16     

91    J0241+16      dsm+13     02:41:46            31  dsm+13     +16:04               8  dsm+13     1.5454                   0  dsm+13     16             0  dsm+13     
92    J0242+62      hrk+08     02:42:35             3  cvh+14     +62:56:50           36  cvh+14     0.592                    0  hrk+08     4              0  hrk+08     
93    J0243+6027    hrk+08     02:43                0  hrk+08     +60:27               0  hrk+08     1.473                    0  hrk+08     141            0  hrk+08     
94    J0244+14      dsm+13     02:44:51            31  dsm+13     +14:27               8  dsm+13     2.1281                   0  dsm+13     31             0  dsm+13     
95    J0248+6021    tpc+11     02:48:18.617         1  tpc+11     +60:21:34.72         1  tpc+11     0.217094                 5  tpc+11     370            1  tpc+11     

96    J0251+26      cck+16     02:51:08            67  cck+16     +26:05              15  cck+16     0.00254                  0  cck+16     20             0  cck+16     
97    J0255-5304    lvw69b     02:55:56.221         8  smd93      -53:04:21.36         8  smd93      0.447708444058           3  smd93      15.9           5  mlt+78     
98    J0303+22      ttol16     03:03:00            60  ttol16     +22:48              15  ttol16     1.207                    0  ttol16     20             5  ttol16     
99    J0304+1932    fss73      03:04:33.115        16  hlk+04     +19:32:51.4          8  hlk+04     1.387584446262           3  hlk+04     15.65677      35  bkk+16     
100   J0308+74      hrm+11     03:08                0  hrm+11     +74:00               0  hrm+11     0.00316                  0  hrm+11     6.35           0  hrm+11     

101   J0323+3944    dth78      03:23:26.618        12  hlk+04     +39:44:52.9          3  hlk+04     3.032071956385          10  hlk+04     26.18975      93  bkk+16     
102   J0324+5239    bck+13     03:24:55.46          4  bck+13     +52:39:31.3          2  bck+13     0.336620230291           3  bck+13     115.4636      29  bkk+16     
103   J0325+67      slr+14     03:26                3  slr+14     +67:49              18  slr+14     1.364741                62  slr+14     65             2  slr+14     
104   J0329+1654    lxf+05     03:29:08.55          3  lxf+05     +16:54:02            2  lxf+05     0.893319660649           1  lxf+05     40.821        36  bkk+16     
105   J0332+5434    cp68       03:32:59.368         5  hlk+04     +54:34:43.57         7  hlk+04     0.714519699726           4  hlk+04     26.7641        1  hsh+12     

106   J0332+79      kkl+15     03:32:45            20  kkl+15     +79:10               5  kkl+15     2.05621                  6  kkl+15     16.67          2  kkl+15     
107   J0335+4555    dtws85     03:35:16.6471       14  hlk+04     +45:55:53.48         3  hlk+04     0.26920054092953        13  hlk+04     47.14571      29  bkk+16     
108   J0337+1715    rsa+14     03:37:43.82589      13  rsa+14     +17:15:14.828        2  rsa+14     0.00273258863244         9  rsa+14     21.3162        3  rsa+14     
109   J0338+66      slr+14     03:39                3  slr+14     +66:44              18  slr+14     1.76200                 15  slr+14     67             2  slr+14     
110   J0340+4130    hrm+11     03:40:23.28819       2  mnf+16     +41:30:45.2903       5  mnf+16     0.00329933936624965      7  abb+15     49.57878      26  abb+15     

111   J0341+5711    hrk+08     03:41                0  hrk+08     +57:11               0  hrk+08     1.888                    0  hrk+08     100            0  hrk+08     
112   J0343-3000    bjd+06     03:43:27.94          3  bjd+06     -30:00:27.5          4  bjd+06     2.59702715738            9  bjd+06     20.2           3  bjd+06     
