#,NAME,dm,P0,RAJD,DECJD
,(cm^-3,pc),(s),(deg),(deg),
54,J0100-7211,lfmp02,*,0,*,8.020392,9,mgr+05,15.17929,-72.19267,
55,J0101-6422,kcj+12,11.926,1,kcj+12,0.0025731519721683,2,kcj+12,15.29632,-64.37505,
56,J0102+4839,hrm+11,53.5,0,hrm+11,0.00296,0,hrm+11,15.75000,48.00000,
57,B0059+65,dbtb82,65.853,16,hlk+04,1.679164229064,12,hlk+04,15.63733,65.62039,
58,J0103+54,kkl+15,55.605,4,kkl+15,0.354304,6,kkl+15,15.90417,54.03333,
59,J0106+4855,pga+12,70.87,20,pga+12,0.0831573050050,6,pga+12,16.60442,48.93106,
60,J0108-1431,tnj+94,2.38,19,hlk+04,0.807564614019,20,hlk+04,17.03478,-14.53061,
61,B0105+65,dls72,30.5482,14,bkk+16,1.2836598429,5,hlk+04,17.09436,66.14277,
62,B0105+68,dtws85,61.0617,36,bkk+16,1.071118109859,5,hlk+04,17.12293,69.09795,
63,J0111+6624,slr+14,111.20,3,lsk+18,4.3018721008,4,lsk+18,17.84115,66.40300,
64,J0111-7131,mfl+06,76,3,mfl+06,0.68854151164,5,mfl+06,17.86988,-71.52967,
65,J0113-7220,ckm+01,125.49,3,ckm+01,0.32588301613,1,ckm+01,18.29621,-72.34228,
66,B0114+58,stwd85,49.42068,59,bkk+16,0.1014390664824,20,hlk+04,19.41109,59.24400,
67,J0125-23,mbc+19,10,0,mbc+19,0.00367586,0,mbc+19,21.29167,-23.45722,
68,J0125+62,slr+14,118,2,slr+14,1.708233,98,slr+14,21.50000,62.58333,
69,J0131-7310,mfl+06,205.2,7,mfl+06,0.348124045581,7,mfl+06,22.86879,-73.16926,
70,J0133-6957,lml+98,22.948,8,dsb+98,0.463473741703,3,dsb+98,23.38525,-69.95824,
71,J0134-2937,mld+96,21.806,6,hlk+04,0.136961610513651,14,lwy+16,23.57784,-29.62140,
72,J0137+1654,lxf+05,26.0838,24,bkk+16,0.4147630265082,5,lxf+05,24.34950,16.91169,
73,J0137+6349,slr+14,285.50,6,lsk+18,0.717962726847,6,lsk+18,24.30569,63.82621,
74,J0139+33,ttm+18,21,2,ttm+18,*,0,*,24.79167,33.16667,
75,J0139+5621,cvh+14,101.842,32,cvh+14,1.77534382596,10,cvh+14,24.91067,56.36022,
76,B0136+57,dth78,73.81141,76,bkk+16,0.272450630950,15,hlk+04,24.83225,58.24217,
77,B0138+59,mth72,34.926,4,srb+15,1.2229485205457,18,hlk+04,25.41641,60.15897,
78,J0141+63,slr+14,272.6,4,slr+14,0.04668588,49,slr+14,25.25000,63.13333,
79,J0146+31,ttol16,25,1,ttol16,0.9381,0,ttol16,26.56250,31.06667,
80,J0146+6145,ims94,*,0,*,8.6889941,4,dk14,26.59342,61.75078,
81,B0144+59,stwd85,40.111,3,hlk+04,0.19632137543003,16,ywml10,26.93602,59.36758,
82,B0148-06,mlt+78,25.66,3,hlk+04,1.464664549334,7,hlk+04,27.84459,-6.58411,
83,J0152+0948,clm+05,22.881,12,bkk+16,2.74664729014,10,clm+05,28.09887,9.80278,
84,B0149-16,mlt+78,11.92577,4,srb+15,0.8327416126878,13,hlk+04,28.04522,-16.63139,
85,J0156+04,dsm+16,27.5,0,dsm+16,*,0,*,29.00417,4.03333,
86,B0153+39,dtws85,59.833,11,bkk+16,1.81156061131,10,hlk+04,29.23019,39.82459,
87,B0154+61,dls72,30.21,3,hlk+04,2.35174493646,7,hlk+04,29.45806,62.20720,
88,J0158+21,dsm+13,20,0,dsm+13,0.5053,0,dsm+13,29.62083,21.13333,
89,J0201+7005,kkl+15,21.029,2,kkl+15,1.349184471846,10,kkl+15,30.42227,70.08836,
90,J0205+6449,mss+02,140.7,3,csl+02,0.06571592849324,9,lrc+09,31.40801,64.82815,
91,B0203-40,mlt+78,12.9,12,nmc81,0.630550140847,6,smd93,31.50528,-40.46787,
92,J0211-8159,lml+98,24.36,3,dsb+98,1.0773327013,8,dsb+98,32.99583,-81.99339,
93,J0212+5222,bck+13,38.21,3,lsk+18,0.3763863640606,15,lsk+18,33.21724,52.38042,
94,J0214+5222,slr+14,22.0354,34,slr+14,0.02457529479071,22,slr+14,33.73030,52.37804,
95,J0215+6218,llc98,84.00,5,hlk+04,0.548879819155,3,hlk+04,33.98595,62.30927,
96,J0218+4232,nbf+95,61.252,5,hlk+04,0.00232309053151224,8,dcl+16,34.52649,42.53816,
97,J0220+36,ttol16,40,10,ttol16,1.0297,0,ttol16,35.20833,36.36667,
98,J0229+20,dsm+13,27,0,dsm+13,0.8069,0,dsm+13,37.26250,20.96667,
99,B0226+70,dtws85,46.6794,16,bkk+16,1.466820306152,7,hlk+04,37.80832,70.44275,
100,J0241+16,dsm+13,16,0,dsm+13,1.5454,0,dsm+13,40.44167,16.06667,
101,J0242+62,hrk+08,4,0,hrk+08,0.592,0,hrk+08,40.64583,62.94722,
102,J0243+6027,hrk+08,141,0,hrk+08,1.473,0,hrk+08,40.75000,60.45000,
103,J0244+14,dsm+13,31,0,dsm+13,2.1281,0,dsm+13,41.21250,14.45000,
104,J0248+6021,tpc+11,370,1,tpc+11,0.217094,5,tpc+11,42.07757,60.35964,
105,J0250+5854,tbc+18,45.281,3,tbc+18,23.535378476,1,tbc+18,42.57408,58.90036,
106,J0251+26,cck+16,20,0,cck+16,0.00254,0,cck+16,42.78333,26.08333,
107,B0254-53,lvw69b,15.9,5,mlt+78,0.447708444058,3,smd93,43.98425,-53.07260,
108,J0303+22,ttol16,20,5,ttol16,1.207,0,ttol16,45.75000,22.80000,
109,B0301+19,fss73,15.65677,35,bkk+16,1.387584446262,3,hlk+04,46.13798,19.54761,
110,J0308+74,hrm+11,6.35,0,hrm+11,0.00316,0,hrm+11,47.00000,74.00000,
111,J0319+13,ttm+18,12,2,ttm+18,*,0,*,49.87500,13.68333,
112,B0320+39,dth78,26.18975,93,bkk+16,3.032071956385,10,hlk+04,50.86091,39.74803,
113,J0324+5239,bck+13,115.4636,29,bkk+16,0.336620230291,3,bck+13,51.23108,52.65869,
114,J0325+6744,slr+14,65.28,5,lsk+18,1.364678767282,15,lsk+18,51.27133,67.74983,
115,J0329+1654,lxf+05,40.821,36,bkk+16,0.893319660649,1,lxf+05,52.28563,16.90056,
116,B0329+54,cp68,26.7641,1,hsh+12,0.714519699726,4,hlk+04,53.24737,54.57877,
117,J0332+79,kkl+15,16.67,2,kkl+15,2.05621,6,kkl+15,53.18750,79.16667,
118,B0331+45,dtws85,47.14571,29,bkk+16,0.26920054092953,13,hlk+04,53.81936,45.93152,
119,J0335+6623,slr+14,66.726,2,lsk+18,1.76193424742,19,lsk+18,53.98776,66.38990,
120,J0337+1715,rsa+14,21.3162,3,rsa+14,0.00273258863244,9,rsa+14,54.43261,17.25412,
121,J0340+4130,hrm+11,49.5865,16,abb+18,0.003299339366490734,17,abb+18,55.09703,41.51258,
122,J0341+5711,hrk+08,100,0,hrk+08,1.888,0,hrk+08,55.25000,57.18333,
123,J0343-3000,bjd+06,20.2,3,bjd+06,2.59702715738,9,bjd+06,55.86642,-30.00764,
124,B0339+53,dth78,67.30,6,hlk+04,1.934478067294,15,hlk+04,55.80379,53.21484,
125,J0348+0432,lbr+13,40.46313,11,afw+13,0.0391226569017806,7,afw+13,57.18183,4.53652,
126,J0357+3205,aaa+09c,*,0,*,0.4441044988,6,rkp+11,59.46875,32.09028,
127,B0353+52,dtws85,103.706,4,hlk+04,0.1970300980314,3,hlk+04,59.43673,52.61603,
128,J0358+4155,slr+14,46.325,1,lsk+18,0.2264843322519,3,lsk+18,59.51323,41.92195,
129,B0355+54,mth72,57.1420,3,js06,0.156384121559,8,lwy+16,59.72385,54.22050,
