,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_I,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
0,1,36.574323258902524,39.959472721350686,,26,46,30,51,334.0,2.175803621154075,2.1587796474202214,11.867883967523591,0.12484882235884495,0.11530638177600849,376.9022406326102,0.0,5825.884603386035,,5656.855999492313,,17.946349851113187,1.4,329.42652865067356,-80.35938689775371,7.427798464324755,0.548302512530827,0.0031547222011820697,1.463604865475612e-05,17.946349851113187,0.9930724568123709,0.0002844501408937654,0.581241522218856,0.0,0.0
2,3,53.565211949812706,58.092728376086924,,50,56,54,61,39.0,1.8277387936940415,1.417868703811146,-74.12547879753033,0.6310401361782273,0.25505887856536447,2.429134991157298,0.0,46.53319523496921,,82.87863157221929,,23.190347359517865,2.5201687256525074,329.4194561682437,-80.35812087051744,1.376000570719312,0.46059017601089847,0.11731874073050674,0.0026331117587927,23.190347359517865,0.00551995438365605,0.03683111894499605,0.41833089852789496,0.0,0.0
1,2,53.5190864000031,38.87544451339951,,52,55,38,40,10.0,1.082978478822928,0.6645425599542714,-22.458824944973223,0.789597671617794,0.6797126973496006,1.2125942177835896,0.0,9.512300707837284,,28.30127959812622,,24.91404061882873,2.7780210415579067,329.41946889708953,-80.35946164336244,5.319038712143332,0.27291057666337787,0.7349632228817295,0.010325925266369891,24.91404061882873,0.0014075888039729884,0.00014762886444227364,0.0004275792532490986,0.0,0.0
