,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_I,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
10,11,55.82985424329897,60.60881265168332,,52,60,57,64,60.0,1.8896786072202592,1.435852573803203,26.840550648875766,0.6501106314512121,0.16328071130057253,8.245419639913486,0.0,157.86857335320343,,164.5084925145057,,21.918260789255434,1.4,344.4306886095033,-29.593991232858514,0.9134695425333447,0.4761990090195053,0.013315073447306314,0.0008643764477447657,21.918260789255434,0.14726687043543224,0.10904884746025556,0.9999999999989364,0.0,0.0
8,9,31.625650208641016,39.813413766798035,,25,38,31,48,133.0,2.1193990495881834,1.5276030850113937,-73.73088037927727,0.6931724177139063,-0.13200004903897167,69.9902745950765,0.0,698.220729905144,,689.0502961503328,,20.304018153235393,1.4207709360410816,344.43263533417763,-29.59544806360926,8.507186802504265,0.5340885604962222,0.04341732193294345,0.00018419403783827566,20.304018153235393,0.691086507638391,2.4490581909947045e-14,1.0539145028822027e-12,0.0,0.0
5,6,58.96293158693662,22.284557158549838,,54,62,21,24,19.0,2.570212639579003,0.7015547692564587,-12.145330592238459,0.9620265395731593,0.14698714241136202,1.2184872221756322,0.0,14.496716332311479,,56.65492034421712,,24.510825897905093,2.7243085542107517,344.43043381327703,-29.596673245182235,9.323848550723984,0.6476935851739087,0.8886374633513783,0.007610304100475273,24.510825897905093,0.01672653453224266,7.296599569098589e-15,7.599768217282814e-15,0.0,0.0
7,8,39.389074004726794,32.02257565283906,,38,42,30,34,10.0,1.8770654209465856,0.5460628255878152,-44.95031417380049,0.9567494957778346,0.5236175138089365,1.144312005165716,0.0,7.63053069417559,,78.29088064933381,,25.20761314084768,3.4064606271690954,344.432009947402,-29.59599286725523,8.492974803716248,0.4730204860785396,0.9536156111628734,0.012824174364458082,25.20761314084768,0.009926098220425023,2.824282760049217e-15,1.7456637988539669e-15,0.0,0.0
12,13,63.90179260889844,93.73409014509424,,61,68,90,98,50.0,1.609441471566673,1.354194441424533,70.45207173450564,0.5404027935327792,0.1391885783613347,9.028960177895271,0.0,123.79490601606264,,130.7952772027825,,22.18224306386791,1.4,344.4300412035418,-29.59167241379816,8.758533795649312,0.40557925083480156,0.24250633170036917,0.0010973473050534962,22.18224306386791,0.11600157375085723,2.6393726590667372e-17,1.9065072325358035e-16,0.0,0.0
20,21,46.215671461560454,25.23935600168526,,43,49,23,28,23.0,1.9278226188053382,1.0061596561802186,-44.180411647573614,0.8529974624829083,-0.009457646481081383,1.4322888694294207,0.0,16.86870415488636,,193.76678073248374,,24.346295696016497,3.7941272501121253,344.43146002616874,-29.596467203040742,9.182385149144862,0.48581129993894523,0.8447186397424744,0.006702360468887303,24.346295696016497,0.01899241542265189,2.400714260020887e-17,2.839190515863115e-17,0.0,0.0
