,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,LRIS_I,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
5,6,110.4094592184405,108.69926029129158,,96,124,92,124,575.0,5.339992010956141,4.159898242316638,-71.32234067163066,0.6270135776531724,-5.588510158876229,1298.1554393084791,0.0,160977.6846201132,,167761.7206613024,,21.18308580864785,1.4221108978161698,229.7064386485766,12.376649000740517,0.37169819375613294,0.7155589294681229,0.004654221464130859,0.00043550167233397563,21.18308580864785,0.9389480287026961,0.22501296351094327,1.0,0.0,0.0
6,7,49.14591480587764,138.49170796091778,,45,54,133,144,80.0,2.9356751178552125,2.137059730998636,62.922390625737485,0.6856175503300386,-3.947280291577389,136.1230843761592,0.0,5751.609495679378,,10867.420866900893,,24.80052651989254,2.233414499724177,229.7087770635267,12.377759525356181,9.060624241134441,0.3933804657925985,0.91799532321151,0.009484289070062235,24.80052651989254,0.0431148221773918,8.553702542828811e-94,1.7455474088794768e-94,0.0,0.0
4,5,179.93792153903053,86.78235806354307,,177,183,83,91,32.0,2.7827931372068564,1.1434417286305112,-72.32207718201387,0.9116817120455507,9.726006746378719,118.79477150823,0.0,1871.5598327376574,,12115.244212893193,,26.019490710430226,3.4379458726859533,229.70378285506928,12.375835009216736,9.829826165432284,0.37289428038571876,0.999130569379872,0.022797013839884594,26.019490710430226,0.017937149119912274,2.8735891890497023e-127,2.4396583150179423e-128,0.0,0.0
