,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_I,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
3,4,62.0772422947101,57.08716757408866,,53,72,48,67,249.0,3.7022200804613212,2.0633665663341656,43.90130876384501,0.830289580525306,-0.029037754197759114,36.59333611472513,0.0,1481.7654300968802,,1489.955610819465,,19.558707591785478,1.4,183.97951586096622,-13.021122330089181,0.8059297052925707,0.932959460276253,0.0013405670635370237,8.57216726500269e-05,19.558707591785478,0.719640528251297,0.14080077583778622,0.9975387873503594,0.002461212649640649,0.1
4,5,58.869831655436435,84.72892988415695,,56,61,80,88,31.0,2.3412038188083275,0.9945080927053801,-75.20061720776658,0.9052942980028864,0.13787072479530593,2.386957106331849,0.0,25.455565084390713,,43.750783893002826,,23.971199381938828,2.156802810904361,183.9797435159979,-13.019193535749181,6.504444204189807,0.5899833623396985,0.5025760274352651,0.0049894228394066886,23.971199381938828,0.012363912976312457,9.618998260148423e-20,1.1708328950970701e-20,0.002461212649640649,0.1
2,3,72.51475382306712,33.49836520195184,,67,78,28,40,106.0,2.3473682153332325,1.7557524962392927,-54.62017148529603,0.6637366201743139,0.15259851519810752,13.734681235721197,0.0,297.3347813577152,,308.78802264384603,,21.302541951036062,1.4183798687727487,183.97877014463154,-13.022768865730727,7.16783099369108,0.5915367902639745,0.07890250959441114,0.00048784062588385605,21.302541951036062,0.12645275222145363,1.4625886373301133e-23,1.8207889584550453e-23,0.002461212649640649,0.1
12,13,58.992889229228055,32.582925256997086,,57,61,30,35,20.0,1.1565438298299986,1.0023184433612975,35.426729955730515,0.49891700441219783,-0.0027984316081983707,2.2091405463631446,0.0,17.302529234137126,,22.545886398413263,,24.390382258510144,1.4,183.97973853665204,-13.022831769386725,6.595222523356164,0.29144904511715963,0.6222988757764245,0.0069354479378359955,24.390382258510144,0.008894708797669714,2.148019121169725e-40,1.8809576057269687e-41,0.002461212649640649,0.1
11,12,61.92642698587061,25.51628871800785,,59,65,22,30,49.0,1.9010517662310873,1.2182337864591506,-63.50894943396445,0.7676903792446836,-0.028415978271681297,4.7607219797812235,0.0,74.83691519374945,,82.26696096127867,,22.800366544209076,1.5996640245314502,183.97952897976225,-13.023325018355003,8.393663426122247,0.479065045090234,0.3486526454059985,0.0018895064041603027,22.800366544209076,0.032648097753267276,3.073621763562696e-51,9.879101207246078e-52,0.002461212649640649,0.1
