,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_R,kron_radius,ra,dec,coords,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux
9,10,61.02310932163173,59.39424874666706,,57,66,56,63,62.0,1.7881537192590933,1.461928715263651,28.156429636405264,0.575838847979476,-0.03729577903583703,4.8358283552665995,0.0,66.96027144750784,,68.10338124074785,,23.60030082222644,1.4,17.591728402792835,-70.81139693372702,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.5917284, -70.81139693)>",0.49399861985504273,0.4506147372532915,0.021236844809354838,0.0036984561238940328,23.60030082222644,0.07699186168225439,0.21073535802156906,0.9965207328261183,0.0
8,9,68.78997880157581,52.48173442212971,,65,72,50,55,31.0,2.2299391662503,0.9265630852231012,-7.941352940961601,0.9095883926451874,-0.027809108975702657,1.0540121622714338,0.0,13.463736165789385,,18.47635414997751,,25.34192985448498,2.160935815215169,17.590091999035923,-70.81187754352352,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.590092, -70.81187754)>",3.018631284066074,0.5619446698950756,0.39103732472327224,0.014138870652823602,25.34192985448498,0.020139587476307372,0.002812519760973459,0.0034789666160227315,0.0
11,12,70.15110512758672,70.05515397012957,,67,73,67,73,44.0,1.2688537343944142,1.2077186304420768,82.22781162060565,0.3066615147557133,0.06651341424528567,7.135901119852548,0.0,60.484343922510796,,62.119776776826015,,23.710736400644816,1.4,17.58979737101704,-70.81065862968461,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.58979737, -70.81065863)>",3.796471119537887,0.3197511410673924,0.18002737076256015,0.004046504814664762,23.710736400644816,0.07036962400162784,6.779065523130501e-08,2.929942991979886e-07,0.0
6,7,54.272979446526094,45.45778946601549,,53,56,43,47,15.0,1.050110304816091,0.8307974145106031,-89.64138881828153,0.6116189084942084,0.19690235716428361,1.2851537156602362,0.0,9.390814466008848,,10.768003110023574,,25.73308568539245,1.4,17.593159086085958,-70.81236278498933,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.59315909, -70.81236278)>",3.742239039369476,0.2646277968136549,0.5872480971539323,0.01868409522462391,25.73308568539245,0.015240289610248856,8.080326449423011e-09,7.563559627784544e-09,0.0
12,13,74.9041615931117,83.22191875907762,,74,77,81,86,15.0,1.8149995912676948,0.7129201205802547,-72.14852030132184,0.9196266809555451,0.1694952502915683,0.7416869930892673,0.0,6.507471205367345,,7.72869556948782,,26.131313198384156,1.4,17.588788763359744,-70.80974587621934,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.58878876, -70.80974588)>",7.091430988082607,0.4573798969994591,0.9819358161383787,0.02460957247777742,26.131313198384156,0.011570742343690358,1.740779913250934e-24,1.237112507779758e-24,0.0
49,50,61.56448424881411,95.79983474500246,,58,66,94,98,28.0,2.5113400075091348,0.8478319368984837,9.771371319771939,0.9412891614406842,0.06529942509526165,0.8957766859253127,0.0,12.276168943565096,,13.218158712134706,,25.442186694810875,1.4,17.591598709369006,-70.80887148596737,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.59159871, -70.80887149)>",9.048051984699716,0.632857681892302,0.9821013681760908,0.015197759843179663,25.442186694810875,0.018736381234272795,6.911590450580298e-34,7.953674590374741e-34,0.0
43,44,20.97363854749493,55.89910363471739,,16,26,50,63,100.0,2.9940978566954133,1.7845812203058282,-83.98311646101165,0.8029599156176565,0.036143538951591836,8.030577702409019,0.0,113.91475391084741,,116.79747741292294,,23.023393895388743,1.4,17.600182938763364,-70.81163361999144,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.60018294, -70.81163362)>",9.558447181380217,0.7545126598872441,0.49257553270716825,0.0022867583959264573,23.023393895388743,0.12452169098230076,1.0020303011526414e-34,7.6635496004074594e-34,0.0
17,18,52.440693409734116,88.54975249644205,,51,54,87,90,15.0,1.0290401876720905,0.8528641361567911,55.39527263658697,0.5595512501138719,0.22883251296475748,1.1227695372033324,0.0,8.18166015171645,,7.741635905666516,,25.882740246386795,1.4,17.59352727902476,-70.80937315663931,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.59352728, -70.80937316)>",7.402895992087541,0.2593181272933668,0.9737541110558042,0.020742265377229445,25.882740246386795,0.01372805800861711,3.2593890147596414e-41,2.7482068094509275e-41,0.0
34,35,34.269044342682285,34.06830052613666,,29,42,24,42,133.0,1.853392640977139,1.564686996424551,-84.24478000580093,0.5359833412598979,0.021423441766955875,32.02837269156877,0.0,360.0881123121168,,353.14238139183226,,21.773821875808068,1.4,17.597386432637645,-70.81315002433831,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.59738643, -70.81315002)>",8.898085538004704,0.46705494552623905,0.17496403127164029,0.0007573012663218205,21.773821875808068,0.37600758772233334,4.571970180076345e-44,1.055854575591814e-42,0.0
13,14,42.110032437806716,83.553844542992,,41,43,82,85,12.0,0.9195556938286366,0.7219638181864138,80.06743267377126,0.6193405689299819,0.12987549284559208,1.028040136523245,0.0,6.689709609639003,,6.749701720446841,,26.101325670874047,1.4,17.595709664080943,-70.80971825729993,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.59570966, -70.80971826)>",7.31730382768901,0.2317280348448164,0.9839488874782378,0.024111366469595587,26.101325670874047,0.011809825158097401,3.2119116238877295e-44,2.3297598864680916e-44,0.0
48,49,71.37261304523648,96.75415223657318,,67,75,93,101,61.0,2.076359321491013,1.3616921443538093,49.659130051801064,0.7549281036579497,0.0003359770744424395,3.021889671881638,0.0,48.20842438038825,,50.69295690935121,,23.95703649248224,1.4,17.58952844289637,-70.80880663784713,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.58952844, -70.80880664)>",9.761537561579075,0.5232425490157353,0.7782199788319754,0.004933387590204278,23.95703649248224,0.05771916702716345,2.354385483646097e-50,8.346448818365844e-50,0.0
44,45,95.58040183849467,49.11260417355609,,93,99,45,53,43.0,1.8388924428266333,1.227403779722876,-87.10657671116259,0.7446375468018798,0.057932682663569324,1.6705794960780551,0.0,25.39207753573168,,33.80336607320558,,24.653098247248764,2.092813153574031,17.58443874420788,-70.81211486553855,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.58443874, -70.81211487)>",9.492481468163705,0.4634008955923116,0.9133278854336737,0.008483961972263785,24.653098247248764,0.033563448688202414,4.7036867033771975e-58,9.69636765434149e-58,0.0
4,5,75.39302288493006,25.599903426750856,,71,79,21,30,69.0,1.4012831967087693,1.38086484404884,60.10143215580069,0.17008834436905235,0.02339654932220725,12.977966924920416,0.0,138.3679217238011,,140.6583822091094,,22.81225529132935,1.545428310628229,17.588709431496248,-70.81374328948306,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.58870943, -70.81374329)>",9.432495499099797,0.35312336557060986,0.418018227416342,0.001908957995643441,22.81225529132935,0.14916568252344223,3.811588921784921e-64,3.492038987872717e-63,0.0
5,6,85.69741290931317,30.691163062023115,,83,88,28,33,25.0,1.2397756846436223,1.068492610605717,75.82960913500854,0.50717431716328,0.07570423153456574,1.491524869191288,0.0,13.716524925231532,,19.625457570538536,,25.321733593582067,2.198497457641417,17.586532233688956,-70.81339148781397,"<SkyCoord (ICRS): (ra, dec) in deg
    (17.58653223, -70.81339149)>",9.827165622995416,0.3124234725301928,0.986145401940991,0.013933757892701548,25.321733593582067,0.0204360535414418,3.767405388407663e-77,4.728718863450817e-77,0.0
