,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_I,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
98,99,369.8570504808734,361.92079060941563,,324,417,303,420,6716.0,20.129952071642258,17.26278569229302,-28.632960136501573,0.5143720227020682,1.238188076252598,194.85837176055009,0.0,72881.19908921231,,81122.5090002979,,15.382005938931009,1.4,199.80817403987365,-18.837880938788892,2.160695519556528,5.072747922053849,0.00021657720996748342,6.34628825674492e-07,15.382005938931009,0.2842251050413436,0.010692295379510499,0.9998406995629606,0.0,0.0
97,98,372.8937374026265,328.1800920565069,,355,392,313,340,731.0,9.035692806410616,5.636669252477975,21.17914017351476,0.781565980093989,2.5005157418302417,13.382885299348814,0.0,4773.303067047193,,9472.270411817575,,18.34149718845488,2.5886178418186643,199.80796826162012,-18.840215020977418,8.771309726016502,2.276994587215475,0.007076596455313333,2.2899827887206474e-05,18.34149718845488,0.007876803508220648,6.147089377581351e-05,0.00015930043703943602,0.0,0.0
99,100,326.0121487161195,348.2982468429106,,320,333,336,356,170.0,3.3850130413800583,2.4373635734422807,-61.11530903898543,0.6939268026941569,1.7950285088052311,33.74888761299958,0.0,1313.7622577323093,,1561.2591369266006,,19.742252759403442,1.6778003871344807,199.81138338018243,-18.838802984283305,9.345097864842966,0.8530232864277747,0.029329170304929764,0.00010380384772841891,19.742252759403442,0.0017376759011045228,2.9723755544018633e-22,1.6992993322598592e-22,0.0,0.0
53,54,429.447493289085,442.43565312321425,,414,459,417,458,1169.0,11.716282453211246,5.486729698998815,-44.83328460565655,0.883569770637687,-0.1517150753258676,35.49233874057832,0.0,1174.4472660012036,,1303.5662853388856,,19.86396090912752,1.4,199.80378283555504,-18.83234120130574,26.367145274837096,2.952503178209234,0.23692462765189914,0.00011772163229326913,19.86396090912752,0.001532237033464157,2.988036036069007e-71,1.5062921519341322e-71,0.0,0.0
100,101,308.55543327874676,421.12899482019986,,301,316,412,439,304.0,4.778609166480541,2.218165787409942,80.18602372964996,0.8857374938826672,-0.190096018979375,19.55457158092983,0.0,584.2564400133406,,578.5444410988905,,20.622035941892552,1.4,199.8126238048251,-18.833759833086862,19.81117024616971,1.2042095099530963,0.2717408086624581,0.0002527663660161236,20.622035941892552,0.0007136133160536517,1.4894470860371621e-140,3.496918029396535e-141,0.0,0.0
1,2,704.231185762112,9.062059525749834,,699,708,3,18,78.0,4.708898023290345,1.361930518149025,68.68967119957364,0.9572611777087321,0.10847577498535088,1.1499297653032556,0.0,46.38158319989509,,128.89103850114432,,23.372680790070305,2.735927103374705,199.78391255968782,-18.862425357329354,122.39893158883267,1.186642301869167,1.0,0.003066149675420272,23.372680790070305,5.882864952275136e-05,0.0,0.0,0.0,0.0
0,1,81.01921396681817,7.11021599951287,,46,117,0,52,1683.0,5.831402867504307,4.651955185857555,31.928374702867437,0.6029988779794418,-71.42488488097801,435.24552177198854,0.0,21332.305228874447,,20828.569819953038,,16.715950239563306,1.4,199.8294453519845,-18.862280044884113,112.42638415097429,1.4695135226110854,0.126956072633013,3.4165135446250335e-06,16.715950239563306,0.05279576453703,0.0,0.0,0.0,0.0
7,8,321.09549701533837,56.560091465106225,,308,332,44,70,423.0,1.9553167106776503,1.8787697695385537,58.96944309161298,0.27706250768295376,-0.04479962349545019,601.4392666032867,0.0,6428.372472425529,,6203.913019153186,,18.01829213051138,1.4,199.81188178492678,-18.85897052514782,76.53227147199944,0.49273981109076787,0.2535981616573273,1.5890023823822562e-05,18.01829213051138,0.011351615745797211,0.0,0.0,0.0,0.0
8,9,530.7023024836491,59.97598340784457,,527,535,56,64,70.0,1.6853380214981504,1.4411588447456083,34.44264394235758,0.518437362832277,-0.03873589003595157,8.150520029478443,0.0,110.87226981762329,,113.44331781045167,,22.426487365595865,1.4,199.7965666055934,-18.858828420982142,86.07772278333454,0.4247051814175339,0.9999999999999838,0.0013636817124448863,22.426487365595865,0.00013227239391236392,0.0,0.0,0.0,0.0
9,10,494.21620926279184,70.44306408949696,,489,501,64,75,92.0,2.8139693130380046,2.4877950194076934,-46.51674296103319,0.46732145239447553,0.004233575263342004,2.1623699331884154,0.0,58.84539153790823,,70.32586303224278,,23.114263570114144,1.4,199.79922728233205,-18.858088480438358,79.63292762260005,0.7091202668855772,1.0,0.002469678423803613,23.114263570114144,7.303681438889246e-05,0.0,0.0,0.0,0.0
