,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_R,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
8,9,58.676704164681496,61.74169939115321,,47,70,50,73,422.0,3.5369698826593168,3.421689488359345,28.163505095272075,0.2532265008792014,0.05843645998121616,23.570454665944915,0.0,1409.6291763038441,,1416.5745432200883,,20.248329770028672,1.4,204.56259366244794,-31.380139868868962,0.5396611284542111,0.8913164104301479,0.002319025300378197,0.00017415833972496666,20.248329770028672,0.788915400490305,0.2053285721268077,0.99845902984239,0.001540956703973958,0.1
7,8,60.481964137103745,40.16343072520389,,55,65,37,43,46.0,2.6082013881240864,1.3418385636696633,-22.11801614563133,0.8575090235504936,0.08307465353676236,0.7423191821320927,0.0,16.93694830343638,,56.25246958698321,,25.0490040655068,3.026571267086996,204.56245973176655,-31.381632846933357,4.919804643125145,0.6572667498072697,0.6162104589772035,0.011414024854829867,25.0490040655068,0.012037488798240105,1.813231901822596e-07,1.3453636062106845e-08,0.001540956703973958,0.1
10,11,76.84778296022289,86.37740048946357,,74,80,82,90,44.0,2.0317463234877917,1.5992879898760899,84.1178209506406,0.6167623140567006,0.16912288867407455,0.8660037553577311,0.0,18.721431425123328,,26.74944716766867,,24.94024434167551,1.4,204.56110788548827,-31.378445178704588,7.829777307601786,0.5120000735189235,0.8760973682709822,0.010529550568157712,24.94024434167551,0.013048628756135787,1.5335552850874304e-32,1.2334306615044022e-33,0.001540956703973958,0.1
6,7,56.647572770773635,31.97296509382048,,54,59,30,34,21.0,1.4200627264474284,1.1114427057578025,27.721776250140497,0.6224349228546743,0.11841410649881112,0.6473124694975994,0.0,8.33234822635928,,24.442530799537963,,25.819173441007162,2.8036023620708272,204.56277497043175,-31.382197339241408,7.0016085199018265,0.35785580706475195,0.9565634024358395,0.01984457456195721,25.819173441007162,0.006923615112225297,2.4891430287839016e-33,1.0622657951108442e-34,0.001540956703973958,0.1
9,10,25.767501092545416,76.3772460878467,,20,34,70,83,152.0,2.9074181457413735,2.644803883238857,58.180187645243926,0.41532212767723464,0.03385416894803228,3.0792087982626697,0.0,146.92052336431533,,157.84822086713757,,22.703385803515143,1.4,204.56525079146192,-31.379111817555458,9.421335459735815,0.7326693727268261,0.3937527566632745,0.001737545718609683,22.703385803515143,0.07907486684309392,8.624363313192391e-36,4.203547319571416e-36,0.001540956703973958,0.1
