,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_I,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
14,15,57.58986913554977,60.00120590380545,,45,69,45,74,486.0,4.055360207892408,3.2322146803695846,67.60507270208838,0.6039491735331255,0.05689326591799926,36.740555821426646,0.0,1876.724545457937,,1883.5145797432415,,19.230334333165807,1.4,204.4588566406424,-16.12257010829605,0.4642622619543268,1.0219507723888868,0.0009973972821678556,6.056465064650359e-05,19.230334333165807,0.9145765585495927,0.08167067152811955,0.9992034420241261,0.0,0.0
13,14,69.8395266163064,49.234437493258675,,64,75,44,56,112.0,2.4217918061675467,2.0381483019107294,72.5623645218794,0.5401217081783475,0.10566864055613934,5.382482588174014,0.0,129.91843800116234,,166.27903825767075,,22.129658692363734,2.077937863673144,204.45796720117445,-16.123323115724894,3.6420175233806518,0.6102915351542217,0.05002332190090075,0.0010467326194290277,22.129658692363734,0.052918012422553846,0.001106250997732747,0.0007831138923411685,0.0,0.0
15,16,65.30302169708847,72.19336289840498,,61,69,68,76,47.0,1.9372483847594464,1.4271907956073153,-49.550213481086686,0.676208523058664,0.13520186430410774,2.1106644201981197,0.0,37.17904624447214,,73.41229178011541,,23.488090056953066,2.5771465054313674,204.4582947872008,-16.121719388575674,3.7949764039647187,0.4881865929593805,0.15780445505178797,0.0033731388406615325,23.488090056953066,0.016421206589638762,6.120098448849519e-05,1.3444083532689123e-05,0.0,0.0
5,6,31.45725948608716,39.04150797408172,,29,33,37,41,17.0,1.0279809102182793,0.970744268024394,6.709784653591765,0.3290247484617635,0.1822403566210724,1.3580176403756,0.0,11.894914136644864,,13.930660253769144,,24.72543238988443,1.9575643060950108,204.46075831246765,-16.124031401542304,8.443728984128043,0.2590511893750064,0.8698306865910056,0.008962151530166143,24.72543238988443,0.006180548227910932,3.008363606469974e-55,2.4872821599133346e-56,0.0,0.0
4,5,60.53342563469371,24.442313559289833,,59,62,23,26,10.0,0.9924549919938694,0.7090132215798757,9.720589410242999,0.6997340785592626,0.23462264891004736,0.8244511626728936,0.0,5.409830069680716,,18.227858396470126,,25.58087660965544,3.24200320158643,204.4586460567619,-16.125053595691003,8.594578447833296,0.2500986579824551,0.9807832517155286,0.016779732289300315,25.58087660965544,0.0033010663580942817,9.749641233310762e-56,4.305371370165303e-57,0.0,0.0
8,9,24.894126286515686,76.3114727370266,,23,27,74,78,21.0,1.2155253796765002,1.1079826472026013,53.088849189395994,0.41124306839931507,0.20258841956137275,1.1069035707337562,0.0,12.888421473212304,,15.329030415637655,,24.63833634394532,1.4,204.46123182042314,-16.12142808645129,9.612899565079875,0.30631239567847807,0.9152291311594289,0.008389262394176653,24.63833634394532,0.006602607852209616,1.1261527617840072e-64,9.946734809315028e-66,0.0,0.0
