,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_R,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
67,68,168.79735099298324,179.97805080577785,,167,171,178,182,21.0,1.1289382905064003,1.0901001407532482,10.13269048275407,0.26004078865710795,20.0223569853732,93.8759567791154,0.0,1014.0106475774637,,1300.6861257938594,,20.617962126918098,1.7880317583865126,174.6025781264215,-56.79888759296812,2.309650845864364,0.28449244920761285,0.005431034888082165,0.0002517530731199188,20.617962126918098,0.075008605411898,0.0003445322042774637,0.09368695739253229,0.9063130425479853,0.1
73,74,189.98624176900145,193.01098211280828,,188,192,191,195,21.0,1.1351289152186024,1.105510139467981,-1.9615331489783223,0.22694693193080523,26.81061988872765,96.33755549279286,0.0,1064.0180769179863,,1326.3788425394655,,20.565695899252045,1.6308668487332236,174.599868795704,-56.797975176408514,4.999122441693344,0.2860524866350878,0.019741508432383537,0.0002390870253788049,20.565695899252045,0.07898231571941558,2.0363644405504877e-13,5.830738827086155e-11,0.9063130425479853,0.1
57,58,193.9694484658512,161.10304814160872,,191,197,158,164,36.0,1.53091544718958,1.3717105037188522,2.668255428446832,0.4440405236515872,16.774967254578534,95.50858877643606,0.0,1998.2911805415708,,2366.704051813423,,19.88142148614503,1.6160030504458784,174.5993596247508,-56.8002092196593,5.837059418787906,0.3857906926917742,0.013424677758727022,0.00011985728314043172,19.88142148614503,0.1575511010103535,1.5072586010477219e-15,8.608895467902302e-13,0.9063130425479853,0.1
55,56,174.1380037547702,156.2087547993427,,172,176,154,158,22.0,1.1666710743259918,1.0821673857188934,31.737438369822197,0.37365305107130425,15.554408683288464,88.22966880640315,0.0,968.432158295567,,1227.9173404366732,,20.667895409118323,1.7432911288976431,174.6018954582008,-56.800551826955505,5.438930304894039,0.29400111073014995,0.025550455815610107,0.0002644408434242226,20.667895409118323,0.07140972127588882,1.1936242291277033e-15,3.0900334804698736e-13,0.9063130425479853,0.1
68,69,209.10507625023376,180.1854922563157,,204,214,178,182,34.0,2.7020328464838297,0.9305783327253576,6.496772877565778,0.9388232494216774,20.89957409288705,87.4369130058396,0.0,1560.5728381978909,,1565.546501116181,,20.149858305847566,1.4,174.59742427102802,-56.79887317860818,7.964548870741932,0.6809122773139251,0.032409232263803434,0.00015766220880272225,20.149858305847566,0.11977281725459783,1.1910067990616988e-17,5.171430910254501e-15,0.9063130425479853,0.1
71,72,209.2541222382614,187.5475592407579,,204,214,186,190,33.0,2.5329144425103345,0.9289464239529239,-7.2769712992444076,0.9303195270413649,22.044564798442373,84.46294249306966,0.0,1662.699738533354,,1882.547684541687,,20.08103384397292,1.4,174.5974052127216,-56.79835772350047,8.365595071572779,0.6382944395126043,0.03308353593219049,0.00014701984428995695,20.08103384397292,0.12844284398534528,2.0066559354395864e-21,9.343746522691349e-19,0.9063130425479853,0.1
64,65,142.91127713649237,175.9926138447966,,140,146,173,179,37.0,1.5013031122085274,1.4481483983347023,4.34956898322047,0.2637382607240036,22.080972927603334,94.87247412072179,0.0,2069.2804642332294,,2609.9732018676214,,19.84352002104653,1.8436716853957154,174.60588805379615,-56.79916645090167,8.756879550284411,0.3783283842765489,0.028020319857036013,0.00011526712701810963,19.84352002104653,0.16382508535948748,1.2004431347099492e-36,7.129518763929299e-34,0.9063130425479853,0.1
47,48,169.3506084236163,143.45980690781013,,167,172,141,146,22.0,1.1445729882005997,1.0974333189042593,2.1578245660786632,0.28403259936813147,16.48646268423473,86.36349410616529,0.0,982.8087285829217,,1196.0807564558827,,20.651895902928153,1.5760993589293084,174.60250773776767,-56.80144442073943,8.83059783402226,0.2884323930265511,0.06297645163530607,0.0002603114404447402,20.651895902928153,0.07254251634358491,9.660049440942126e-42,2.540447279245648e-39,0.9063130425479853,0.1
69,70,142.51281974015677,182.45476903936756,,141,144,181,184,12.0,0.8859599659036633,0.8643493483229245,25.916987701211657,0.21952141492155006,25.15500807500726,56.95140839760273,0.0,454.42323028373283,,886.1476816345249,,21.48941710378721,2.484821433656449,174.60593889826762,-56.79871399961781,8.936558751330221,0.22326191140772317,0.13803675587211417,0.0005816618087967379,21.48941710378721,0.03246499363942871,5.085008876394014e-48,5.98473959964435e-46,0.9063130425479853,0.1
