,label,xcentroid,ycentroid,sky_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr,VLT_FORS2_g,kron_radius,ra,dec,separation,ang_size,P_c,Sigma_m,mag,P_O,p_xO,P_Ox,P_Ux,P_U
7,8,57.60199364404916,55.72901184931733,,42,69,40,73,611.0,5.181211875623354,4.08093820677768,-89.57062783382382,0.6161336304932573,10.209184258889197,2964.2138369938584,0.0,187264.30416684045,,200028.67265888912,,21.31886249704239,1.4817923156786035,326.10536665000404,-40.90023906676777,0.8476116884766322,1.3070125077447472,0.011874635694435254,0.0004954322455930314,21.31886249704239,0.8722241485650316,0.1044041639436733,0.9993917861859165,0.0,0.0
8,9,70.39261459327956,56.55677076309008,,67,75,48,64,104.0,3.2034373821219444,2.077116997479352,-81.14450729444104,0.761297655946626,24.587536934625717,316.93822040958264,0.0,12347.860153663929,,18321.001501258044,,24.271020744467407,1.7760546173934,326.10418128583575,-40.90018272155313,2.9054901057004052,0.8080991140140816,0.19904735107271743,0.006320798110562832,24.271020744467407,0.06836604508248799,0.0008106361609976681,0.0006082138133183511,0.0,0.0
9,10,48.03715511524804,69.45283564213565,,44,52,66,74,45.0,1.9572790504503843,1.6099333824022923,42.306115745744556,0.5687123799597896,7.995023160063308,179.82101745188365,0.0,4072.7171645571693,,16411.854059620833,,25.475289372610437,3.1615201955269425,326.1062505542156,-40.899275623659264,3.880192777493289,0.4937432132666139,0.5460719692345877,0.015562685183525686,25.475289372610437,0.027766928617272587,2.510285891622188e-12,7.649637905684758e-13,0.0,0.0
3,4,96.70674526462277,62.46322001282812,,94,99,59,66,39.0,1.8012693946287381,1.2849207347205935,87.77103515567828,0.7008163027900505,27.025335033834704,264.7283484767453,0.0,4812.844855863694,,5323.110225662585,,25.293995344418835,1.4,326.1017417490926,-40.89977203901575,9.534177309510776,0.45438821748904545,0.9805638480134061,0.013656405469823362,25.293995344418835,0.03164287773520778,0.0,0.0,0.0,0.0
